Global Health Estimates 2016: DALYs by age, sex and cause;;;;;;;;;;;;;;;;;;;;;;;;
Region:;;Global;;;;;;;;;;;;;;;;;;;;;;
Year:;;2010;;;;;;;;;;;;;;;;;;;;;;
GlobalGlobal;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Sex;Both sexes;Male;Female;Male;;;;;;;;Female;;;;;;;
;;;;;Age group;Total (all ages);;;0-28 days;1-59 months;5-14 years;15-29 years;30-49 years;50-59 years;60-69 years;70+ years;0-28 days;1-59 months;5-14 years;15-29 years;30-49 years;50-59 years;60-69 years;70+ years
Population (thousands);;;;;;6.953.344;3.505.864;3.447.480;5.757;331.043;626.325;910.486;949.431;330.639;200.699;151.485;5.379;309.026;585.697;869.139;927.405;334.246;214.676;201.912
;;;;;;;;;;;;;;;;;;;;;;;;
Code;Cause of death;;;;;;;;;;;;;;;;;;;;;;;
0;;All Causes;;;;2.688.683.015;1.429.152.666;1.259.530.349;154.461.957;194.075.424;83.249.007;177.594.941;279.325.230;168.950.109;163.478.067;208.017.931;128.385.658;190.080.080;76.602.643;153.525.160;227.825.162;126.499.135;131.119.596;225.492.915
10;I.;Communicable, maternal, perinatal and nutritional conditions;;;;918.784.638;466.342.801;452.441.837;137.204.596;147.427.332;35.480.861;35.760.840;58.956.721;19.622.494;14.615.649;17.274.309;113.365.193;148.226.011;36.759.387;50.886.099;58.320.598;14.144.384;12.328.625;18.411.540
20;;A.;Infectious and parasitic diseases;;;414.938.185;218.242.749;196.695.436;5.204.248;79.122.901;22.580.636;27.426.843;50.217.683;15.042.871;9.846.861;8.800.705;3.967.952;78.757.665;23.722.274;26.652.360;37.716.555;9.583.210;7.595.619;8.699.801
30;;;1.;Tuberculosis;;57.016.508;36.253.977;20.762.531;7;1.363.225;834.176;6.516.411;12.690.778;6.290.362;4.642.537;3.916.481;11;1.336.704;1.041.398;4.798.857;5.946.542;2.752.768;2.379.492;2.506.758
40;;;2.;STDs excluding HIV;;12.750.940;5.896.284;6.854.656;821.376;2.547.735;471.973;892.214;999.157;99.335;32.596;31.898;672.415;3.160.987;936.810;731.623;1.082.432;158.066;65.888;46.436
50;;;;a.;Syphilis;8.885.983;4.000.392;4.885.591;821.376;2.547.735;462.708;25.296;59.517;34.027;23.251;26.483;672.415;3.160.987;921.102;48.695;33.225;18.378;13.923;16.865
60;;;;b.;Chlamydia;1.239.451;628.491;610.959;0;0;2.666;392.970;225.502;6.587;750;17;0;0;5.428;235.328;327.498;32.484;7.265;2.955
70;;;;c.;Gonorrhoea;1.332.494;933.654;398.840;0;0;4.709;344.126;543.787;39.530;1.239;262;0;0;3.878;158.340;191.642;24.025;11.409;9.546
80;;;;d.;Trichomoniasis;182.218;0;182.218;0;0;0;0;0;0;0;0;0;0;1.154;74.263;78.382;18.251;6.544;3.625
85;;;;e.;Genital herpes;200.148;74.147;126.001;0;0;666;16.827;32.983;11.751;6.932;4.987;0;0;1.395;31.587;51.883;18.804;11.781;10.551
90;;;;f.;Other STDs;910.647;259.600;651.046;0;0;1.224;112.994;137.368;7.441;424;150;0;0;3.853;183.410;399.802;46.123;14.965;2.894
100;;;3.;HIV/AIDS;;87.918.266;45.598.071;42.320.194;59.311;6.471.782;2.982.993;6.307.890;24.844.900;3.829.884;888.068;213.244;59.288;6.267.082;2.874.258;8.387.704;21.532.076;2.463.392;596.105;140.289
110;;;4.;Diarrhoeal diseases;;101.576.830;50.774.461;50.802.369;1.133.920;30.373.128;4.735.916;3.980.242;3.837.037;1.890.936;2.098.834;2.724.448;1.045.730;29.985.451;4.819.494;3.938.367;2.949.391;1.837.952;2.477.062;3.748.922
120;;;5.;Childhood-cluster diseases;;21.674.789;10.985.308;10.689.481;2.876.443;5.628.566;1.523.920;437.170;287.036;128.268;63.436;40.469;2.024.540;5.829.833;2.076.247;420.901;164.391;63.995;59.917;49.657
130;;;;a.;Whooping cough;1.089.807;452.577;637.230;0;48.528;358.427;33.667;8.249;3.655;0;52;0;55.602;531.229;40.757;7.772;1.834;27;9
140;;;;b.;Diphtheria;186.392;94.491;91.901;0;63.419;21.134;4.967;3.161;1.767;30;13;0;63.063;21.911;3.907;2.099;860;31;31
150;;;;c.;Measles;13.925.041;6.619.610;7.305.431;0;5.483.689;962.216;121.677;19.780;14.847;7.448;9.952;0;5.688.196;1.355.667;210.661;35.083;9.222;5.839;764
160;;;;d.;Tetanus;6.473.549;3.818.629;2.654.920;2.876.443;32.930;182.142;276.858;255.847;107.999;55.958;30.452;2.024.540;22.972;167.441;165.577;119.437;52.079;54.020;48.853
170;;;6.;Meningitis;;24.556.955;12.644.225;11.912.731;16.044;6.079.763;2.476.780;2.052.539;1.224.798;364.214;261.675;168.410;14.431;5.949.931;2.465.833;1.782.958;915.888;312.819;239.871;231.000
180;;;7.;Encephalitis;;7.227.477;3.362.452;3.865.025;5.067;1.162.691;571.123;515.021;514.072;215.573;178.916;199.989;4.864;1.246.520;660.324;628.178;572.653;250.964;222.489;279.034
185;;;8.;Hepatitis;;8.153.354;4.129.328;4.024.026;13;716.884;501.827;940.129;1.018.124;436.074;293.689;222.588;10;809.870;700.915;975.373;718.921;300.389;257.928;260.620
186;;;;a.;Acute hepatitis A;697.917;329.436;368.481;0;241.180;15.012;25.225;18.529;12.141;8.494;8.856;0;275.000;18.765;33.360;13.531;7.896;7.878;12.051
190;;;;b.;Acute hepatitis B;4.564.110;2.489.475;2.074.635;13;192.902;71.609;542.174;895.786;380.192;248.833;157.968;10;185.472;73.243;545.162;628.660;259.281;212.838;169.968
200;;;;c.;Acute hepatitis C;100.796;49.157;51.639;0;1.677;11.200;8.390;9.162;7.751;6.811;4.166;0;1.477;11.847;10.321;7.821;7.502;7.287;5.383
205;;;;d.;Acute hepatitis E;2.790.530;1.261.259;1.529.271;0;281.124;404.007;364.341;94.647;35.990;29.551;51.598;0;347.921;597.060;386.529;68.908;25.710;29.925;73.218
210;;;9.;Parasitic and vector diseases;;67.729.732;34.534.258;33.195.474;1.042;20.360.367;4.706.201;3.774.958;3.301.010;1.092.152;778.887;519.641;1.126;20.609.788;4.572.617;3.117.789;2.563.848;927.234;780.280;622.792
220;;;;a.;Malaria;50.148.991;24.834.310;25.314.681;973;19.504.881;2.885.552;1.232.424;729.520;196.864;169.156;114.940;1.096;19.802.571;3.090.241;1.232.438;653.493;197.420;194.004;143.418
230;;;;b.;African Trypanosomiasis;525.617;264.720;260.897;0;5.246;87.779;104.693;52.031;8.691;4.572;1.710;0;5.391;95.103;97.901;47.137;8.592;4.602;2.171
240;;;;c.;Chagas disease;267.469;158.141;109.328;0;155;550;7.124;39.806;39.071;36.908;34.528;0;143;595;5.465;22.307;22.231;25.965;32.622
250;;;;d.;Schistosomiasis;3.391.500;1.699.261;1.692.239;0;19.512;199.695;548.449;541.988;184.156;129.641;75.821;0;18.970;203.727;509.458;538.256;187.990;138.076;95.763
260;;;;e.;Leishmaniasis;1.749.886;891.175;858.711;0;236.792;137.676;199.313;174.658;59.062;47.707;35.967;0;231.315;138.257;188.405;157.395;57.865;49.072;36.403
270;;;;f.;lymphatic filariasis;1.728.489;1.493.339;235.150;0;0;170.860;355.872;636.097;207.290;86.750;36.470;0;0;21.111;51.543;100.559;36.725;17.209;8.002
280;;;;g.;Onchocerciasis;1.131.497;606.956;524.540;0;0;109.825;199.738;177.378;56.461;39.245;24.309;0;0;96.440;167.279;147.347;50.105;37.232;26.138
285;;;;h.;Cysticercosis;2.318.668;1.107.586;1.211.082;0;16.032;94.162;317.696;418.150;131.981;82.779;46.786;0;22.162;131.986;292.790;412.724;161.263;110.693;79.464
295;;;;i.;Echinococcosis;760.210;323.023;437.186;0;6.922;30.471;46.195;83.046;44.942;62.345;49.102;0;8.575;39.268;61.310;127.594;66.926;71.224;62.289
300;;;;j.;Dengue;2.578.726;1.328.381;1.250.344;0;338.162;300.610;299.255;215.400;82.438;54.059;38.456;0;328.261;305.736;258.252;176.493;74.979;56.525;50.099
310;;;;k.;Trachoma;233.007;94.765;138.242;0;0;0;1.411;7.442;11.774;27.232;46.906;0;0;0;1.623;9.883;15.476;39.538;71.722
315;;;;l.;Yellow fever;811.143;561.791;249.352;69;39.117;225.847;208.873;69.321;10.665;5.444;2.456;30;16.858;113.938;83.066;26.678;4.755;2.598;1.430
320;;;;m.;Rabies;2.084.530;1.170.809;913.721;0;193.549;463.173;253.916;156.174;58.756;33.050;12.190;0;175.542;336.214;168.261;143.984;42.909;33.540;13.272
330;;;10.;Intestinal nematode infections;;4.846.588;2.370.691;2.475.897;0;311.645;414.947;588.382;655.025;199.562;118.251;82.879;0;382.619;424.128;612.597;647.499;189.612;118.124;101.318
340;;;;a.;Ascariasis;1.627.220;766.665;860.556;0;233.720;172.894;147.044;132.787;40.820;22.890;16.510;0;311.640;189.964;142.507;130.413;41.017;24.601;20.413
350;;;;b.;Trichuriasis;370.359;184.684;185.676;0;11.485;39.959;56.452;49.647;14.398;7.643;5.100;0;11.033;38.438;55.279;50.333;15.199;8.554;6.839
360;;;;c.;Hookworm disease;1.747.423;779.328;968.095;0;63.409;172.492;226.141;199.730;59.248;34.273;24.035;0;57.103;171.690;314.488;287.778;67.809;38.500;30.726
362;;;;d.;Food-bourne trematodes;1.101.586;640.015;461.571;0;3.031;29.602;158.745;272.862;85.095;53.445;37.235;0;2.844;24.035;100.322;178.975;65.587;46.469;43.340
365;;;11.;Leprosy;;455.606;259.938;195.668;0;12;164;7.469;63.248;72.410;62.608;54.028;0;4;62;7.841;45.061;40.416;58.334;43.951
370;;;12.;Other infectious diseases;;21.031.140;11.433.755;9.597.385;291.026;4.107.103;3.360.617;1.414.418;782.497;424.102;427.362;626.630;145.537;3.178.877;3.150.190;1.250.173;577.854;285.603;340.127;669.024
380;;B.;Respiratory Infectious ;;;162.477.114;82.507.386;79.969.728;9.939.437;43.600.592;5.117.032;4.149.064;5.109.715;3.284.332;3.863.569;7.443.646;8.246.731;46.131.298;5.354.697;3.550.654;3.471.100;2.235.898;3.134.517;7.844.833
390;;;1.;Lower respiratory infections;;153.044.221;77.702.602;75.341.619;9.928.695;42.797.685;3.915.192;2.960.417;4.144.193;2.953.104;3.690.066;7.313.249;8.236.995;45.390.727;4.258.166;2.408.545;2.517.347;1.901.212;2.950.439;7.678.188
400;;;2.;Upper respiratory infections;;5.846.432;2.930.115;2.916.317;9.844;422.890;577.088;753.916;721.937;216.798;125.340;102.303;8.421;402.654;549.442;743.544;724.879;222.355;133.775;131.247
410;;;3.;Otitis media;;3.586.462;1.874.670;1.711.792;898;380.017;624.752;434.731;243.585;114.430;48.163;28.094;1.315;337.918;547.089;398.565;228.873;112.331;50.303;35.398
420;;C.;Maternal conditions;;;21.797.744;0;21.797.744;0;0;0;0;0;0;0;0;0;0;1.605;12.397.675;9.381.928;16.536;0;0
490;;D.;Neonatal conditions;;;253.011.382;137.194.438;115.816.944;121.986.822;10.379.535;1.357.345;1.673.854;1.347.186;307.349;111.099;31.249;101.084.813;9.690.643;1.243.523;1.636.625;1.486.385;418.807;188.182;67.966
500;;;1.;Preterm birth complications;;113.109.516;61.279.378;51.830.138;51.998.312;5.933.731;953.949;1.178.364;927.491;198.439;67.415;21.678;43.512.699;5.258.762;740.729;1.001.354;917.228;249.930;108.553;40.883
510;;;2.;Birth asphyxia and birth trauma;;76.630.016;42.667.048;33.962.969;39.503.169;2.590.234;140.439;189.681;171.427;48.200;20.207;3.690;30.862.454;2.503.934;129.089;182.486;184.632;61.541;30.576;8.256
520;;;3.;Neonatal sepsis and infections;;45.887.531;24.095.491;21.792.040;23.254.592;206.846;187.849;213.895;170.994;41.284;15.931;4.099;20.332.238;317.731;313.417;373.460;313.842;87.075;39.364;14.914
530;;;4.;Other neonatal conditions;;17.384.321;9.152.521;8.231.800;7.230.749;1.648.723;75.107;91.914;77.273;19.426;7.546;1.782;6.377.425;1.610.216;60.288;79.325;70.683;20.261;9.689;3.913
540;;E.;Nutritional deficiencies;;;66.560.208;28.398.225;38.161.983;74.088;14.324.303;6.425.848;2.511.078;2.282.136;987.942;794.120;998.710;65.696;13.646.403;6.437.288;6.648.785;6.264.631;1.889.933;1.410.307;1.798.941
550;;;1.;Protein-energy malnutrition;;26.345.723;13.409.699;12.936.024;43.759;10.506.296;1.140.615;409.485;366.678;205.288;251.968;485.612;39.138;10.122.303;1.098.242;390.314;292.731;174.382;258.858;560.056
