Global Health Estimates 2016: DALYs by age, sex and cause;;;;;;;;;;;;;;;;;;;;;;;;
Region:;;African Region;;;;;;;;;;;;;;;;;;;;;;
Year:;;2010;;;;;;;;;;;;;;;;;;;;;;
GlobalGlobal;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Sex;Both sexes;Male;Female;Male;;;;;;;;Female;;;;;;;
;;;;;Age group;Total (all ages);;;0-28 days;1-59 months;5-14 years;15-29 years;30-49 years;50-59 years;60-69 years;70+ years;0-28 days;1-59 months;5-14 years;15-29 years;30-49 years;50-59 years;60-69 years;70+ years
Population (thousands);;;;;;867.306;432.084;435.222;1.305;71.755;115.380;120.331;83.229;20.877;12.226;6.981;1.266;69.968;113.354;120.081;85.010;22.780;13.970;8.792
;;;;;;;;;;;;;;;;;;;;;;;;
Code;Cause of death;;;;;;;;;;;;;;;;;;;;;;;
0;;All Causes;;;;627.912.241;326.195.472;301.716.769;54.837.617;103.452.185;31.601.441;42.996.916;49.693.518;16.648.434;14.152.641;12.812.720;41.559.894;95.580.653;30.150.561;42.607.246;49.345.799;14.419.908;13.485.366;14.567.343
10;I.;Communicable, maternal, perinatal and nutritional conditions;;;;423.264.923;215.136.358;208.128.565;50.598.242;86.726.189;18.793.134;17.668.705;27.115.227;6.526.079;4.222.430;3.486.352;38.028.704;81.501.846;19.287.926;25.707.794;31.287.474;5.158.612;3.649.113;3.507.096
20;;A.;Infectious and parasitic diseases;;;230.401.621;118.417.863;111.983.758;2.174.228;52.059.127;14.045.718;14.950.779;24.786.702;5.416.840;2.925.453;2.059.016;1.418.860;48.478.254;14.463.083;15.356.178;23.592.118;4.128.841;2.489.023;2.057.401
30;;;1.;Tuberculosis;;16.958.037;10.717.912;6.240.125;3;823.863;390.447;2.955.524;3.645.330;1.363.736;863.858;675.152;3;772.974;443.907;1.621.957;1.643.262;688.286;547.467;522.269
40;;;2.;STDs excluding HIV;;5.584.521;2.486.997;3.097.524;434.980;1.311.175;331.081;203.973;171.159;27.415;4.148;3.067;352.978;1.582.314;654.931;264.466;209.359;20.146;8.227;5.103
50;;;;a.;Syphilis;4.742.475;2.117.363;2.625.112;434.980;1.311.175;327.815;9.681;18.886;9.381;2.882;2.562;352.978;1.582.314;647.183;28.042;8.815;2.466;1.707;1.607
60;;;;b.;Chlamydia;250.110;112.744;137.366;0;0;835;80.261;31.129;473;45;1;0;0;2.429;68.544;61.237;3.806;934;416
