Global Health Estimates 2016: DALYs by age, sex and cause;;;;;;;;;;;;;;;;;;;;;;;;
Region:;;Region of the Americas;;;;;;;;;;;;;;;;;;;;;;
Year:;;2015;;;;;;;;;;;;;;;;;;;;;;
GlobalGlobal;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Sex;Both sexes;Male;Female;Male;;;;;;;;Female;;;;;;;
;;;;;Age group;Total (all ages);;;0-28 days;1-59 months;5-14 years;15-29 years;30-49 years;50-59 years;60-69 years;70+ years;0-28 days;1-59 months;5-14 years;15-29 years;30-49 years;50-59 years;60-69 years;70+ years
Population (thousands);;;;;;982.776;486.117;496.659;634;37.642;78.131;119.736;131.991;53.172;36.776;28.035;606;36.028;74.881;116.220;134.302;56.002;40.751;37.868
;;;;;;;;;;;;;;;;;;;;;;;;
Code;Cause of death;;;;;;;;;;;;;;;;;;;;;;;
0;;All Causes;;;;283.193.681;155.253.632;127.940.048;6.071.604;6.273.964;5.260.157;24.527.936;34.388.149;23.660.044;24.271.420;30.800.358;4.773.341;5.517.143;4.608.687;14.550.314;26.263.057;18.552.929;19.571.329;34.103.248
10;I.;Communicable, maternal, perinatal and nutritional conditions;;;;32.982.105;17.709.371;15.272.733;4.700.637;2.823.480;922.362;1.635.531;3.023.867;1.436.411;1.241.679;1.925.404;3.608.455;2.494.546;876.191;1.639.494;2.460.300;1.027.634;991.451;2.174.663
20;;A.;Infectious and parasitic diseases;;;10.542.857;6.107.585;4.435.273;57.978;883.668;339.645;886.933;1.997.165;802.345;557.808;582.043;42.763;812.065;315.893;565.106;1.162.942;483.174;412.876;640.454
30;;;1.;Tuberculosis;;730.860;501.185;229.676;0;14.079;8.751;82.625;185.742;95.280;65.698;49.010;0;10.909;8.183;54.548;69.737;33.551;25.553;27.194
40;;;2.;STDs excluding HIV;;462.713;206.392;256.321;24.816;50.471;6.146;50.936;52.546;8.666;6.267;6.545;20.186;60.580;9.052;54.123;77.707;16.451;9.729;8.492
50;;;;a.;Syphilis;201.316;101.470;99.846;24.816;50.471;5.470;1.330;5.612;4.378;4.220;5.173;20.186;60.580;7.935;1.632;2.924;1.897;1.958;2.734
60;;;;b.;Chlamydia;83.797;42.989;40.808;0;0;199;26.398;15.852;482;56;1;0;0;312;19.099;18.527;1.796;632;443
70;;;;c.;Gonorrhoea;57.409;33.500;23.909;0;0;280;13.661;18.454;900;153;53;0;0;236;7.069;12.302;1.701;1.230;1.371
80;;;;d.;Trichomoniasis;35.452;0;35.452;0;0;0;0;0;0;0;0;0;0;150;12.332;15.995;4.374;1.695;906
85;;;;e.;Genital herpes;41.536;15.637;25.899;0;0;126;3.321;6.451;2.663;1.788;1.289;0;0;220;5.481;10.252;4.310;3.005;2.631
90;;;;f.;Other STDs;43.203;12.797;30.407;0;0;71;6.225;6.177;244;51;29;0;0;200;8.509;17.707;2.374;1.210;406
