Global Health Estimates 2016: DALYs by age, sex and cause;;;;;;;;;;;;;;;;;;;;;;;;
Region:;;Western Pacific Region;;;;;;;;;;;;;;;;;;;;;;
Year:;;2016;;;;;;;;;;;;;;;;;;;;;;
GlobalGlobal;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Sex;Both sexes;Male;Female;Male;;;;;;;;Female;;;;;;;
;;;;;Age group;Total (all ages);;;0-28 days;1-59 months;5-14 years;15-29 years;30-49 years;50-59 years;60-69 years;70+ years;0-28 days;1-59 months;5-14 years;15-29 years;30-49 years;50-59 years;60-69 years;70+ years
Population (thousands);;;;;;1.889.788;964.712;925.076;1.069;63.621;122.934;214.611;293.405;122.848;88.392;57.831;951;56.357;108.609;196.689;282.421;120.183;89.739;70.128
;;;;;;;;;;;;;;;;;;;;;;;;
Code;Cause of death;;;;;;;;;;;;;;;;;;;;;;;
0;;All Causes;;;;510.444.004;274.491.803;235.952.201;7.859.630;9.075.171;7.528.935;23.862.427;51.872.465;42.009.865;57.685.550;74.597.760;6.511.039;7.566.245;6.240.562;19.690.126;45.821.085;33.416.279;44.721.614;71.985.251
10;I.;Communicable, maternal, perinatal and nutritional conditions;;;;47.961.894;25.572.112;22.389.782;6.131.155;4.412.953;1.326.007;2.335.764;4.127.621;1.945.299;2.051.944;3.241.369;5.055.006;3.571.949;1.239.877;2.609.930;3.881.695;1.494.248;1.527.589;3.009.487
20;;A.;Infectious and parasitic diseases;;;17.173.958;9.875.515;7.298.442;105.629;1.663.557;582.755;1.403.640;2.858.636;1.234.026;1.071.255;956.016;79.323;1.241.300;572.367;1.120.356;1.930.868;768.806;757.714;827.708
30;;;1.;Tuberculosis;;4.144.418;2.668.883;1.475.535;2;36.715;41.915;320.968;707.499;474.130;548.228;539.425;2;24.333;39.581;239.547;385.597;202.238;269.931;314.306
40;;;2.;STDs excluding HIV;;1.101.272;489.389;611.883;26.739;55.483;4.883;217.849;150.469;15.770;10.051;8.146;22.699;67.315;6.955;121.188;303.011;52.777;24.870;13.068
50;;;;a.;Syphilis;234.466;117.479;116.987;26.739;55.483;3.732;2.729;9.299;6.536;6.554;6.406;22.699;67.315;5.161;2.119;5.916;4.326;4.434;5.017
60;;;;b.;Chlamydia;448.505;294.013;154.491;0;0;830;180.065;108.491;4.130;489;8;0;0;645;50.053;88.621;11.491;2.915;766
70;;;;c.;Gonorrhoea;59.839;8.929;50.910;0;0;89;4.512;3.603;479;194;52;0;0;268;11.741;30.178;3.798;2.556;2.371
80;;;;d.;Trichomoniasis;43.256;0;43.256;0;0;0;0;0;0;0;0;0;0;121;13.259;20.310;5.912;2.490;1.163
85;;;;e.;Genital herpes;52.470;20.790;31.680;0;0;90;3.455;9.028;3.890;2.678;1.648;0;0;148;5.457;13.186;5.709;4.149;3.031
90;;;;f.;Other STDs;262.737;48.178;214.560;0;0;142;27.087;20.048;735;135;31;0;0;613;38.558;144.799;21.541;8.327;721
100;;;3.;HIV/AIDS;;1.979.815;1.521.502;458.313;234;25.366;11.630;133.947;975.131;279.729;77.085;18.379;234;22.314;10.311;68.006;285.554;53.515;14.435;3.943
110;;;4.;Diarrhoeal diseases;;2.520.079;1.424.214;1.095.865;37.317;846.828;92.916;124.459;132.461;61.198;57.520;71.514;25.530;539.317;94.675;102.636;100.180;59.851;66.342;107.334
120;;;5.;Childhood-cluster diseases;;250.224;132.787;117.437;15.825;70.771;13.939;7.189;12.718;5.923;3.847;2.575;18.360;72.977;11.671;3.619;3.747;2.014;2.383;2.666
130;;;;a.;Whooping cough;13.135;6.309;6.826;0;1.988;3.468;482;259;84;10;17;0;2.287;3.699;511;230;72;9;18
140;;;;b.;Diphtheria;3.021;1.480;1.541;0;656;534;118;96;73;0;3;0;525;787;93;74;56;0;6
150;;;;c.;Measles;145.205;71.721;73.485;0;67.226;4.111;318;31;20;8;7;0;69.333;3.606;446;91;6;0;3
160;;;;d.;Tetanus;88.862;53.278;35.585;15.825;901;5.827;6.271;12.332;5.746;3.828;2.548;18.360;832;3.580;2.569;3.352;1.879;2.374;2.639
170;;;6.;Meningitis;;766.328;408.559;357.769;4.156;128.110;64.032;63.535;72.343;28.003;26.113;22.267;3.892;110.076;57.413;57.557;60.178;24.803;23.490;20.360
180;;;7.;Encephalitis;;1.009.418;401.997;607.421;1.465;86.320;43.708;65.312;96.261;40.606;33.729;34.596;1.489;66.457;64.327;125.387;177.103;75.276;50.689;46.693
185;;;8.;Hepatitis;;488.010;281.736;206.274;2;14.396;5.131;21.292;81.023;58.248;60.609;41.035;1;16.026;4.667;17.957;42.896;35.812;43.088;45.827
186;;;;a.;Acute hepatitis A;34.835;17.686;17.148;0;10.358;374;1.320;1.684;1.287;1.327;1.337;0;11.677;372;1.109;808;689;884;1.609
190;;;;b.;Acute hepatitis B;395.692;235.848;159.844;2;1.584;1.055;16.704;75.730;53.715;55.106;31.953;1;1.519;786;12.957;39.871;33.126;39.214;32.369
200;;;;c.;Acute hepatitis C;6.413;3.518;2.895;0;361;156;189;579;813;986;435;0;328;155;225;383;578;766;460
205;;;;d.;Acute hepatitis E;51.070;24.684;26.386;0;2.093;3.547;3.080;3.031;2.434;3.190;7.310;0;2.502;3.354;3.666;1.833;1.419;2.224;11.388
210;;;9.;Parasitic and vector diseases;;1.836.430;850.392;986.037;1;167.972;88.040;124.703;191.965;98.607;111.038;68.066;1;178.145;96.263;117.360;232.369;127.205;137.802;96.892
220;;;;a.;Malaria;238.727;114.793;123.934;1;64.848;9.466;18.836;14.121;4.185;2.609;728;1;78.651;12.784;19.028;8.283;2.767;1.789;631
230;;;;b.;African Trypanosomiasis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
240;;;;c.;Chagas disease;188;119;69;0;0;0;31;24;16;14;34;0;0;0;3;17;11;11;28
250;;;;d.;Schistosomiasis;75.089;37.849;37.240;0;13;1.063;9.863;15.140;5.565;3.886;2.318;0;12;1.096;9.416;15.815;4.854;3.579;2.468
260;;;;e.;Leishmaniasis;2.864;1.156;1.708;0;204;54;96;131;177;275;217;0;247;72;184;288;300;363;254
270;;;;f.;lymphatic filariasis;59.813;50.099;9.714;0;0;3.930;10.345;21.870;8.697;3.716;1.540;0;0;564;1.903;4.168;1.778;847;454
280;;;;g.;Onchocerciasis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
285;;;;h.;Cysticercosis;413.949;174.781;239.169;0;251;1.031;24.898;63.224;35.978;31.189;18.210;0;301;1.073;25.863;83.091;50.736;44.830;33.276
295;;;;i.;Echinococcosis;514.510;199.127;315.382;0;1.073;13.818;20.152;42.042;28.629;57.304;36.109;0;1.309;17.373;31.800;92.348;52.843;74.162;45.547
300;;;;j.;Dengue;385.601;188.113;197.488;0;93.727;39.183;25.737;16.961;6.496;3.837;2.172;0;92.456;51.853;23.773;16.220;6.029;3.839;3.319
310;;;;k.;Trachoma;25.528;10.308;15.220;0;0;0;86;878;1.189;2.985;5.170;0;0;0;92;1.101;1.353;3.942;8.732
315;;;;l.;Yellow fever;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
320;;;;m.;Rabies;120.161;74.047;46.114;0;7.855;19.495;14.659;17.574;7.675;5.222;1.567;0;5.170;11.449;5.298;11.039;6.534;4.440;2.184
330;;;10.;Intestinal nematode infections;;1.548.843;846.866;701.977;0;24.095;57.751;217.205;330.588;107.472;71.355;38.401;0;22.420;52.939;169.011;256.976;89.111;66.300;45.221
340;;;;a.;Ascariasis;196.196;97.730;98.466;0;10.850;10.240;26.964;29.572;10.467;6.134;3.502;0;11.257;9.997;25.862;28.968;10.790;6.765;4.825
350;;;;b.;Trichuriasis;60.792;30.445;30.348;0;1.046;3.435;9.926;9.801;3.341;1.881;1.014;0;990;3.160;9.490;9.636;3.450;2.124;1.498
360;;;;c.;Hookworm disease;371.338;165.431;205.906;0;9.908;21.129;43.957;51.253;18.967;12.496;7.721;0;8.351;22.990;58.201;72.049;21.067;13.532;9.717
