Global Health Estimates 2016: DALYs by age, sex and cause;;;;;;;;;;;;;;;;;;;;;;;;
Region:;;African Region;;;;;;;;;;;;;;;;;;;;;;
Year:;;2000;;;;;;;;;;;;;;;;;;;;;;
GlobalGlobal;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Sex;Both sexes;Male;Female;Male;;;;;;;;Female;;;;;;;
;;;;;Age group;Total (all ages);;;0-28 days;1-59 months;5-14 years;15-29 years;30-49 years;50-59 years;60-69 years;70+ years;0-28 days;1-59 months;5-14 years;15-29 years;30-49 years;50-59 years;60-69 years;70+ years
Population (thousands);;;;;;665.570;331.178;334.392;1.033;55.954;90.048;92.229;61.326;15.817;9.618;5.153;1.008;54.788;88.660;92.125;63.372;17.116;10.898;6.425
;;;;;;;;;;;;;;;;;;;;;;;;
Code;Cause of death;;;;;;;;;;;;;;;;;;;;;;;
0;;All Causes;;;;701.189.189;364.823.324;336.365.865;57.879.165;146.120.221;32.082.824;42.800.262;47.468.434;15.096.284;12.768.483;10.607.653;44.209.833;135.078.020;31.335.497;43.592.163;45.178.298;12.929.280;12.149.761;11.893.012
10;I.;Communicable, maternal, perinatal and nutritional conditions;;;;522.814.882;266.668.077;256.146.805;54.057.688;130.859.640;20.318.311;19.499.065;27.815.187;6.589.619;4.285.453;3.243.114;40.928.682;122.723.871;21.652.762;28.789.456;30.102.924;5.134.982;3.629.106;3.185.022
20;;A.;Infectious and parasitic diseases;;;317.565.850;164.447.958;153.117.892;4.438.197;90.860.356;15.846.272;16.885.412;25.676.906;5.595.376;3.122.255;2.023.184;2.894.934;84.566.950;17.170.011;17.955.007;21.760.599;4.219.206;2.596.682;1.954.502
30;;;1.;Tuberculosis;;18.188.478;11.436.409;6.752.069;3;961.205;466.690;3.258.176;3.847.372;1.370.962;886.828;645.173;3;825.095;530.250;1.803.195;1.768.091;739.272;586.973;499.190
40;;;2.;STDs excluding HIV;;5.264.347;2.343.460;2.920.887;430.981;1.207.490;374.100;163.063;136.982;24.836;3.413;2.595;355.345;1.411.186;710.066;240.895;173.424;17.961;7.746;4.265
50;;;;a.;Syphilis;4.574.607;2.059.845;2.514.762;430.981;1.207.490;371.258;12.364;22.272;10.881;2.409;2.190;355.345;1.411.186;702.841;31.560;8.492;2.393;1.641;1.305
60;;;;b.;Chlamydia;200.902;86.930;113.971;0;0;652;62.644;23.236;364;34;1;0;0;2.224;57.926;49.235;3.301;916;369
70;;;;c.;Gonorrhoea;263.790;147.002;116.788;0;0;1.553;64.298;70.302;10.536;275;39;0;0;2.382;67.501;39.695;4.211;1.759;1.240
80;;;;d.;Trichomoniasis;33.776;0;33.776;0;0;0;0;0;0;0;0;0;0;414;18.602;12.068;1.845;607;241
85;;;;e.;Genital herpes;29.601;9.515;20.086;0;0;188;3.293;4.002;1.063;628;339;0;0;538;8.103;7.413;2.015;1.269;748
90;;;;f.;Other STDs;161.671;40.168;121.503;0;0;449;20.464;17.170;1.993;68;25;0;0;1.667;57.203;56.520;4.195;1.555;363
100;;;3.;HIV/AIDS;;73.917.698;35.343.699;38.573.999;80.940;9.305.603;1.459.158;4.785.813;16.234.611;2.531.592;748.013;197.970;80.940;9.018.284;1.422.240;9.123.503;16.131.354;2.046.902;595.171;155.604
110;;;4.;Diarrhoeal diseases;;69.793.349;37.734.835;32.058.514;538.478;27.183.839;2.784.022;2.717.260;2.106.502;760.056;827.770;816.909;418.830;23.596.018;2.591.053;2.004.690;1.230.411;605.002;764.117;848.392
120;;;5.;Childhood-cluster diseases;;44.767.578;22.880.620;21.886.958;3.215.952;14.463.115;3.974.132;790.852;298.040;85.600;40.981;11.948;1.945.083;14.173.294;4.935.680;577.737;147.300;48.806;34.829;24.231
130;;;;a.;Whooping cough;876.916;358.630;518.287;0;14.725;305.712;30.264;6.550;1.378;0;0;0;18.067;465.006;29.170;4.786;1.258;0;0
140;;;;b.;Diphtheria;407.390;207.537;199.854;0;145.696;45.739;9.569;4.984;1.549;0;0;0;141.051;47.058;7.098;3.226;1.421;0;0
150;;;;c.;Measles;36.639.268;18.008.419;18.630.849;0;14.275.759;3.386.550;316.265;26.495;3.350;0;0;0;13.997.831;4.235.967;367.817;26.968;2.265;0;0
160;;;;d.;Tetanus;6.844.004;4.306.035;2.537.969;3.215.952;26.934;236.131;434.754;260.010;79.323;40.981;11.948;1.945.083;16.345;187.648;173.652;112.320;43.862;34.829;24.231
170;;;6.;Meningitis;;19.380.806;10.364.736;9.016.071;3.674;6.604.209;1.559.458;1.275.213;583.503;150.114;123.073;65.493;2.623;5.403.343;1.713.286;1.128.873;422.743;131.674;108.699;104.830
180;;;7.;Encephalitis;;1.297.879;784.934;512.945;93;530.458;111.514;83.286;40.557;9.556;6.076;3.394;59;319.183;74.042;64.869;32.172;9.047;9.812;3.762
185;;;8.;Hepatitis;;1.867.334;995.388;871.946;3;175.323;157.158;344.955;213.449;46.978;35.382;22.139;3;122.986;132.086;333.816;168.073;63.935;32.239;18.810
186;;;;a.;Acute hepatitis A;69.942;41.725;28.217;0;33.577;2.801;3.712;940;265;240;189;0;20.549;2.342;3.749;797;385;225;171
190;;;;b.;Acute hepatitis B;1.269.537;683.010;586.527;3;69.582;38.967;279.009;202.387;43.038;31.527;18.496;3;44.231;30.165;251.491;158.095;58.179;28.543;15.819
200;;;;c.;Acute hepatitis C;35.485;18.271;17.214;0;480;7.270;4.123;2.890;1.622;1.315;571;0;409;5.562;4.513;2.479;2.479;1.267;505
205;;;;d.;Acute hepatitis E;492.370;252.382;239.988;0;71.684;108.119;58.111;7.232;2.052;2.300;2.883;0;57.797;94.017;74.062;6.702;2.891;2.204;2.315
210;;;9.;Parasitic and vector diseases;;74.407.436;37.947.530;36.459.906;1.020;28.513.914;3.484.949;2.822.218;1.977.268;545.638;388.592;213.932;1.077;28.106.964;3.535.520;2.153.590;1.513.966;498.948;400.853;248.987
220;;;;a.;Malaria;63.243.376;31.753.918;31.489.458;940;28.334.895;2.033.739;742.875;396.901;91.976;91.052;61.540;1.041;27.933.895;2.230.628;691.335;353.189;105.417;103.985;69.968
230;;;;b.;African Trypanosomiasis;2.127.221;1.094.366;1.032.854;0;21.711;317.369;456.109;230.799;39.771;20.900;7.707;0;21.800;368.508;374.085;196.846;40.829;21.869;8.917
240;;;;c.;Chagas disease;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
250;;;;d.;Schistosomiasis;3.477.354;1.829.737;1.647.617;0;21.194;249.915;587.249;545.277;200.119;147.273;78.711;0;20.494;257.523;467.178;446.686;196.466;159.419;99.851
260;;;;e.;Leishmaniasis;145.988;85.019;60.968;0;9.802;12.757;26.309;18.256;3.443;8.302;6.151;0;9.597;12.345;14.862;10.784;2.664;6.049;4.667
270;;;;f.;lymphatic filariasis;658.293;581.809;76.484;0;0;94.369;153.954;218.856;72.432;30.798;11.401;0;0;10.404;18.940;30.980;9.911;4.487;1.761
280;;;;g.;Onchocerciasis;1.359.909;721.387;638.521;0;0;142.735;229.140;206.727;68.035;47.295;27.454;0;0;126.192;193.890;176.867;63.306;47.333;30.934
285;;;;h.;Cysticercosis;1.232.423;642.931;589.492;0;12.886;93.867;245.403;217.600;41.223;22.955;8.998;0;16.747;129.814;178.807;170.449;48.875;30.025;14.775
295;;;;i.;Echinococcosis;41.225;20.110;21.114;0;1.125;7.309;6.202;3.767;882;574;251;0;1.432;9.290;4.855;3.234;1.100;795;408
300;;;;j.;Dengue;16.231;7.426;8.804;0;1.630;2.265;1.952;1.027;268;179;104;0;2.150;2.651;2.119;1.166;331;235;151
310;;;;k.;Trachoma;52.849;21.666;31.182;0;0;0;911;2.713;3.258;6.572;8.213;0;0;0;1.153;4.342;4.994;9.255;11.438
315;;;;l.;Yellow fever;884.771;628.852;255.919;81;32.570;256.818;246.450;76.373;10.338;4.744;1.479;36;13.548;128.500;84.898;21.940;4.157;2.124;717
320;;;;m.;Rabies;1.167.800;560.307;607.493;0;78.101;273.808;125.665;58.972;13.893;7.947;1.922;0;87.302;259.665;121.469;97.482;20.899;15.276;5.400
330;;;10.;Intestinal nematode infections;;1.184.724;530.764;653.960;0;222.580;153.957;77.845;50.551;13.204;8.065;4.562;0;281.597;183.120;96.997;61.522;14.903;9.710;6.110
340;;;;a.;Ascariasis;727.155;319.881;407.274;0;197.408;86.834;18.402;11.373;2.988;1.825;1.051;0;257.256;113.450;18.332;11.362;3.287;2.177;1.410
350;;;;b.;Trichuriasis;78.670;38.902;39.768;0;3.831;16.228;9.295;6.424;1.595;961;569;0;3.714;16.050;9.399;6.849;1.777;1.194;784
360;;;;c.;Hookworm disease;378.899;171.981;206.918;0;21.341;50.896;50.149;32.754;8.621;5.279;2.942;0;20.627;53.620;69.266;43.311;9.840;6.339;3.916
362;;;;d.;Food-bourne trematodes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
365;;;11.;Leprosy;;77.711;42.838;34.873;0;8;82;944;11.946;12.000;11.384;6.475;0;3;32;680;7.232;8.610;10.879;7.437
370;;;12.;Other infectious diseases;;7.418.508;4.042.743;3.375.765;167.052;1.692.613;1.321.053;565.788;176.125;44.840;42.679;32.593;90.971;1.308.998;1.342.635;426.163;104.312;34.145;35.655;32.884
380;;B.;Respiratory Infectious ;;;76.777.378;39.783.226;36.994.152;4.380.781;27.097.246;2.313.280;1.684.252;1.538.134;781.677;971.727;1.016.129;3.411.606;26.535.167;2.387.926;1.329.865;925.321;612.839;798.548;992.880
390;;;1.;Lower respiratory infections;;75.525.956;39.136.283;36.389.673;4.377.142;26.888.160;2.113.192;1.546.362;1.472.514;764.218;962.935;1.011.760;3.408.043;26.345.211;2.209.320;1.196.399;860.207;594.179;788.565;987.750
400;;;2.;Upper respiratory infections;;662.435;334.323;328.112;3.340;120.215;77.261;73.658;42.749;9.283;5.251;2.564;2.765;114.761;76.572;72.086;42.802;9.921;6.029;3.176
410;;;3.;Otitis media;;588.987;312.620;276.367;298;88.871;122.827;64.232;22.871;8.176;3.541;1.805;798;75.195;102.034;61.380;22.313;8.739;3.954;1.954
420;;C.;Maternal conditions;;;14.693.298;0;14.693.298;0;0;0;0;0;0;0;0;0;0;1.027;8.152.342;6.529.628;10.301;0;0
490;;D.;Neonatal conditions;;;88.638.327;49.853.853;38.784.474;45.222.752;4.423.740;86.983;74.030;36.164;6.113;2.934;1.137;34.608.127;3.893.645;114.588;100.685;51.700;9.409;4.610;1.710
500;;;1.;Preterm birth complications;;35.451.986;19.842.245;15.609.741;17.087.448;2.641.193;46.454;40.667;20.265;3.575;1.826;817;13.357.178;2.131.649;47.256;43.291;22.671;4.295;2.295;1.107
510;;;2.;Birth asphyxia and birth trauma;;34.146.363;19.183.611;14.962.752;17.831.308;1.311.519;17.213;14.201;7.108;1.352;674;236;13.625.970;1.290.165;18.918;16.253;8.523;1.746;883;295
520;;;3.;Neonatal sepsis and infections;;14.799.006;8.528.842;6.270.164;8.466.738;30.580;14.301;11.394;4.941;623;223;43;6.108.602;69.171;39.346;32.963;16.166;2.582;1.099;234
530;;;4.;Other neonatal conditions;;4.240.972;2.299.155;1.941.817;1.837.257;440.448;9.016;7.769;3.849;563;211;41;1.516.377;402.659;9.069;8.178;4.341;786;333;74
540;;E.;Nutritional deficiencies;;;25.140.027;12.583.040;12.556.986;15.959;8.478.298;2.071.776;855.370;563.983;206.453;188.537;202.664;14.015;7.728.107;1.979.209;1.251.558;835.674;283.227;229.267;235.930
550;;;1.;Protein-energy malnutrition;;17.911.171;9.501.435;8.409.736;6.263;7.471.258;1.022.612;349.646;255.513;118.812;127.455;149.878;5.357;6.716.603;959.408;297.582;144.954;69.635;90.127;126.069
560;;;2.;Iodine deficiency;;851.723;332.793;518.929;0;14.057;66.012;127.164;84.776;21.656;12.448;6.680;0;19.830;100.330;191.678;133.428;36.806;23.262;13.597
570;;;3.;Vitamin A deficiency;;42.001;20.533;21.468;0;5.427;6.537;4.605;2.682;666;404;212;0;5.465;6.590;4.810;3.026;794;500;283
580;;;4.;Iron-deficiency anaemia;;5.590.058;2.385.884;3.204.174;9.696;924.221;955.810;283.347;132.940;34.441;26.802;18.627;8.658;865.733;871.675;678.047;481.944;137.670;91.176;69.272
590;;;5.;Other nutritional deficiencies;;745.074;342.394;402.680;0;63.334;20.805;90.608;88.073;30.878;21.429;27.267;0;120.476;41.206;79.441;72.322;38.323;24.202;26.709
600;II.;Noncommunicable diseases;;;;128.501.816;64.580.037;63.921.780;3.239.179;8.592.163;5.921.563;11.769.562;13.608.294;7.127.952;7.579.251;6.742.075;2.926.703;7.650.435;5.982.592;11.004.244;13.131.027;7.120.855;7.934.995;8.170.928
610;;A.;Malignant neoplasms;;;13.929.281;5.724.545;8.204.735;318;296.224;277.633;788.114;1.613.477;994.768;947.843;806.169;255;218.397;229.592;911.735;3.232.855;1.665.716;1.287.779;658.407
620;;;1.;Mouth and oropharynx cancers;;462.207;276.577;185.631;0;3.839;6.561;31.034;89.642;68.333;51.995;25.172;0;1.340;3.973;26.616;62.755;36.187;38.320;16.440
621;;;;a.;Lip and oral cavity;228.053;138.871;89.182;0;3.189;3.342;11.176;46.900;32.627;25.805;15.833;0;1.094;1.425;6.856;31.500;18.599;19.626;10.081
622;;;;b.;Nasopharynx;145.049;80.188;64.861;0;0;2.025;17.200;26.760;17.310;12.419;4.475;0;0;2.236;17.213;22.020;11.525;8.505;3.362
623;;;;c.;Other pharynx;89.106;57.518;31.588;0;650;1.195;2.659;15.983;18.396;13.771;4.864;0;246;312;2.547;9.234;6.063;10.189;2.997
630;;;2.;Oesophagus cancer;;579.084;322.854;256.230;0;241;281;6.796;74.350;95.349;89.865;55.972;0;87;78;9.876;61.537;64.988;74.168;45.496
640;;;3.;Stomach cancer;;543.123;292.508;250.614;0;4.410;5.006;16.081;98.380;70.156;60.459;38.017;0;1.310;2.179;14.461;83.555;53.399;60.148;35.562
650;;;4.;Colon and rectum cancers;;597.047;277.361;319.685;0;3.010;4.175;28.116;88.382;62.944;57.063;33.672;0;3.261;4.021;30.270;114.459;72.855;61.581;33.239
660;;;5.;Liver cancer;;1.257.246;802.642;454.604;0;0;19.864;146.981;332.626;154.498;100.413;48.261;0;0;8.727;54.875;192.744;93.897;66.607;37.753
661;;;;a.;Liver cancer secondary to hepatitis B;655.819;432.911;222.908;0;0;16.273;124.667;195.354;57.697;28.200;10.720;0;0;5.664;42.349;114.866;34.609;17.425;7.996
662;;;;b.;Liver cancer secondary to hepatitis C;182.966;86.114;96.852;0;0;424;5.479;28.294;22.214;18.960;10.744;0;0;421;4.025;32.112;25.145;21.150;13.999
663;;;;c.;Liver cancer secondary to alcohol use;319.095;233.461;85.635;0;0;0;4.765;90.000;66.736;47.996;23.964;0;0;0;838;25.889;25.251;21.752;11.904
664;;;;d.;Other liver cancer;99.366;50.156;49.209;0;0;3.167;12.071;18.978;7.852;5.257;2.832;0;0;2.642;7.663;19.877;8.892;6.280;3.854
670;;;6.;Pancreas cancer;;180.460;91.901;88.559;0;56;77;2.542;21.434;27.081;26.787;13.923;0;0;0;3.581;24.550;24.218;22.419;13.792
680;;;7.;Trachea, bronchus, lung cancers;;419.604;283.127;136.476;0;1.035;1.346;5.069;72.832;87.148;73.234;42.463;0;87;78;6.348;32.025;36.707;37.564;23.668
690;;;8.;Melanoma and other skin cancers;;119.128;70.996;48.132;0;327;468;4.678;15.468;16.918;18.593;14.544;0;389;460;2.751;10.173;11.592;14.144;8.622
691;;;;a.;Malignant skin melanoma;76.608;34.064;42.544;0;327;468;2.367;8.301;9.962;8.003;4.636;0;389;460;2.063;8.905;10.567;13.100;7.060
692;;;;b.;Non-melanoma skin cancer;42.520;36.932;5.588;0;0;0;2.311;7.167;6.955;10.590;9.909;0;0;0;688;1.268;1.025;1.045;1.562
700;;;9.;Breast cancer;;1.627.213;3.750;1.623.463;0;0;0;664;1.176;734;659;517;0;968;941;130.818;881.770;329.896;194.031;85.038
710;;;10.;Cervix uteri cancer;;1.777.765;0;1.777.765;0;0;0;0;0;0;0;0;0;2.115;2.546;78.337;733.201;478.455;331.542;151.568
720;;;11.;Corpus uteri cancer;;76.347;0;76.347;0;0;0;0;0;0;0;0;0;0;0;2.435;15.016;18.023;23.531;17.342
730;;;12.;Ovary cancer;;261.142;0;261.142;0;0;0;0;0;0;0;0;0;3.528;4.358;27.536;100.473;59.757;43.360;22.130
740;;;13.;Prostate cancer;;490.270;490.270;0;0;0;0;14.356;13.178;13.908;125.123;323.706;0;0;0;0;0;0;0;0
742;;;14.;Testicular cancer;;26.241;26.241;0;0;1.365;1.636;6.526;7.961;4.332;2.635;1.786;0;0;0;0;0;0;0;0
745;;;15.;Kidney cancer;;219.683;96.291;123.392;18;40.732;18.137;6.936;11.983;7.284;6.822;4.377;19;39.993;35.066;9.224;19.635;9.290;6.526;3.638
750;;;16.;Bladder cancer;;164.978;97.626;67.352;0;3.568;4.100;2.960;21.865;19.179;24.981;20.973;0;1.139;1.238;2.788;16.010;18.894;17.001;10.282
751;;;17.;Brain and nervous system cancers;;170.475;93.306;77.169;45;12.926;16.638;14.470;23.570;12.624;9.232;3.801;29;9.182;12.520;12.542;19.715;11.190;7.949;4.042
752;;;18.;Gallbladder and biliary tract cancer;;76.612;22.150;54.462;0;0;0;1.006;7.113;5.082;5.306;3.644;0;0;0;1.593;18.618;15.299;11.523;7.430
753;;;19.;Larynx cancer;;91.084;74.984;16.100;0;0;0;2.194;18.319;22.894;21.475;10.102;0;0;0;1.051;4.725;3.846;4.287;2.192
754;;;20.;Thyroid cancer;;90.634;22.199;68.435;0;0;308;1.114;1.898;4.853;9.085;4.942;0;0;309;1.411;4.407;16.826;32.381;13.101
755;;;21.;Mesothelioma;;19.377;12.108;7.268;0;127;415;1.725;3.126;2.872;2.367;1.476;0;0;0;763;1.520;2.463;1.499;1.024
760;;;22.;Lymphomas, multiple myeloma;;892.082;480.414;411.668;38;39.131;72.379;88.537;138.615;59.019;52.471;30.223;31;25.317;50.124;93.960;127.670;49.307;39.861;25.397
761;;;;a.;Hodgkin lymphoma;152.085;86.380;65.704;10;5.537;11.939;22.735;25.370;9.325;7.795;3.669;2;2.289;7.143;19.302;19.657;8.091;4.687;4.534
762;;;;b.;Non-Hodgkin lymphoma;655.979;353.783;302.197;28;32.650;59.408;64.871;105.571;41.078;30.848;19.330;29;22.716;42.586;73.236;99.003;30.450;20.805;13.371
763;;;;c.;Multiple myeloma;84.018;40.251;43.767;0;945;1.032;931;7.675;8.616;13.829;7.225;0;312;395;1.423;9.010;10.766;14.368;7.492
770;;;23.;Leukaemia;;529.761;283.171;246.590;44;43.795;36.108;73.290;63.185;29.985;23.438;13.326;44;28.236;23.782;56.113;65.004;33.258;25.433;14.718
780;;;24.;Other malignant neoplasms;;3.257.720;1.604.068;1.653.652;172;141.661;90.136;333.039;508.374;229.573;185.840;115.272;131;101.445;79.192;344.387;643.295;225.368;173.902;85.932
790;;B.;Other neoplasms;;;348.271;185.638;162.632;0;13.140;24.616;35.899;35.134;31.114;27.052;18.683;0;11.839;26.680;19.137;46.440;22.667;22.039;13.830
800;;C.;Diabetes mellitus;;;3.977.363;1.992.499;1.984.863;199;15.943;43.903;198.406;502.563;414.398;457.489;359.599;136;16.173;44.055;188.556;406.550;393.013;492.781;443.599
