Global Health Estimates 2016: DALYs by age, sex and cause;;;;;;;;;;;;;;;;;;;;;;;;
Region:;;Global;;;;;;;;;;;;;;;;;;;;;;
Year:;;2015;;;;;;;;;;;;;;;;;;;;;;
GlobalGlobal;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Sex;Both sexes;Male;Female;Male;;;;;;;;Female;;;;;;;
;;;;;Age group;Total (all ages);;;0-28 days;1-59 months;5-14 years;15-29 years;30-49 years;50-59 years;60-69 years;70+ years;0-28 days;1-59 months;5-14 years;15-29 years;30-49 years;50-59 years;60-69 years;70+ years
Population (thousands);;;;;;7.377.975;3.721.658;3.656.317;5.873;342.147;649.522;927.784;1.009.006;369.583;246.728;171.015;5.486;319.748;606.564;878.043;985.726;373.261;263.466;224.023
;;;;;;;;;;;;;;;;;;;;;;;;
Code;Cause of death;;;;;;;;;;;;;;;;;;;;;;;
0;;All Causes;;;;2.672.541.416;1.431.413.278;1.241.128.138;135.258.899;162.751.534;78.267.594;176.579.647;282.123.538;178.674.670;192.326.784;225.430.612;111.523.145;154.403.960;71.017.894;147.290.667;226.604.153;134.291.889;153.445.577;242.550.854
10;I.;Communicable, maternal, perinatal and nutritional conditions;;;;795.603.493;409.282.943;386.320.551;118.719.145;118.657.173;31.992.986;33.592.490;53.360.434;19.150.413;15.484.246;18.326.054;96.831.538;115.392.381;32.483.510;45.583.000;49.921.891;13.539.411;12.944.411;19.624.408
20;;A.;Infectious and parasitic diseases;;;344.443.025;186.046.927;158.396.098;3.814.890;60.232.552;19.643.818;25.142.598;44.207.264;14.279.050;9.984.578;8.742.178;2.711.602;58.951.307;20.086.567;22.456.841;29.450.205;8.574.836;7.492.950;8.671.790
30;;;1.;Tuberculosis;;53.145.126;33.949.248;19.195.879;8;1.258.116;710.350;5.956.967;11.793.779;5.924.088;4.575.359;3.730.580;11;1.259.056;903.714;4.237.427;5.500.763;2.560.438;2.315.107;2.419.361
40;;;2.;STDs excluding HIV;;12.742.638;5.956.619;6.786.019;710.900;2.588.465;439.754;925.668;1.103.228;113.668;39.462;35.474;576.451;3.190.822;842.142;744.833;1.135.661;169.052;77.554;49.504
50;;;;a.;Syphilis;8.643.219;3.913.175;4.730.044;710.900;2.588.465;430.421;25.436;63.005;37.547;27.969;29.431;576.451;3.190.822;826.057;47.825;34.442;19.489;16.539;18.418
60;;;;b.;Chlamydia;1.290.641;652.470;638.171;0;0;2.736;408.196;233.109;7.467;943;19;0;0;5.565;239.071;346.970;35.042;8.480;3.044
70;;;;c.;Gonorrhoea;1.445.641;1.030.755;414.886;0;0;4.682;357.950;619.645;46.725;1.501;251;0;0;3.967;161.163;203.356;24.230;12.473;9.697
80;;;;d.;Trichomoniasis;194.776;0;194.776;0;0;0;0;0;0;0;0;0;0;1.210;77.045;84.188;20.448;7.935;3.951
85;;;;e.;Genital herpes;216.340;81.351;134.989;0;0;687;17.665;35.571;13.250;8.549;5.628;0;0;1.423;32.198;54.899;20.771;14.229;11.470
90;;;;f.;Other STDs;952.021;278.869;673.152;0;0;1.228;116.422;151.897;8.678;500;145;0;0;3.920;187.532;411.806;49.073;17.899;2.923
