Global Health Estimates 2016: DALYs by age, sex and cause;;;;;;;;;;;;;;;;;;;;;;;;
Region:;;Region of the Americas;;;;;;;;;;;;;;;;;;;;;;
Year:;;2016;;;;;;;;;;;;;;;;;;;;;;
GlobalGlobal;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Sex;Both sexes;Male;Female;Male;;;;;;;;Female;;;;;;;
;;;;;Age group;Total (all ages);;;0-28 days;1-59 months;5-14 years;15-29 years;30-49 years;50-59 years;60-69 years;70+ years;0-28 days;1-59 months;5-14 years;15-29 years;30-49 years;50-59 years;60-69 years;70+ years
Population (thousands);;;;;;992.028;490.695;501.334;635;37.567;77.915;120.001;133.513;53.928;37.990;29.145;606;35.935;74.685;116.440;135.715;56.774;42.083;39.094
;;;;;;;;;;;;;;;;;;;;;;;;
Code;Cause of death;;;;;;;;;;;;;;;;;;;;;;;
0;;All Causes;;;;286.872.210;157.394.225;129.477.985;5.882.513;6.105.932;5.187.156;24.682.499;34.907.207;23.871.073;25.080.741;31.677.104;4.634.628;5.349.033;4.568.001;14.609.265;26.566.803;18.846.002;20.198.766;34.705.486
10;I.;Communicable, maternal, perinatal and nutritional conditions;;;;32.950.269;17.716.564;15.233.705;4.555.641;2.772.143;910.561;1.642.132;3.061.797;1.487.104;1.312.131;1.975.055;3.510.499;2.446.871;870.933;1.637.424;2.475.734;1.057.757;1.024.810;2.209.676
20;;A.;Infectious and parasitic diseases;;;10.560.570;6.133.266;4.427.304;56.059;865.468;333.447;888.718;1.988.756;817.423;586.076;597.319;41.377;796.533;314.261;560.641;1.145.165;490.064;423.484;655.779
30;;;1.;Tuberculosis;;721.223;493.617;227.606;0;12.886;7.218;78.970;181.633;95.679;66.792;50.438;0;10.000;7.191;52.379;70.522;33.338;26.460;27.717
40;;;2.;STDs excluding HIV;;460.726;205.782;254.945;24.109;48.635;5.913;51.477;53.361;9.018;6.607;6.662;19.606;58.169;8.564;54.578;77.728;17.385;9.960;8.956
50;;;;a.;Syphilis;196.066;99.261;96.804;24.109;48.635;5.234;1.300;5.650;4.617;4.473;5.245;19.606;58.169;7.568;1.746;2.810;2.044;1.995;2.867
60;;;;b.;Chlamydia;84.542;43.547;40.995;0;0;198;26.644;16.145;501;58;1;0;0;277;19.102;18.573;1.925;633;485
70;;;;c.;Gonorrhoea;58.238;34.055;24.182;0;0;283;13.903;18.739;916;164;49;0;0;181;7.218;12.094;1.978;1.211;1.502
80;;;;d.;Trichomoniasis;35.970;0;35.970;0;0;0;0;0;0;0;0;0;0;148;12.457;16.159;4.485;1.779;942
85;;;;e.;Genital herpes;42.276;15.931;26.345;0;0;126;3.338;6.545;2.728;1.856;1.338;0;0;219;5.506;10.376;4.409;3.123;2.712
90;;;;f.;Other STDs;43.635;12.987;30.648;0;0;72;6.292;6.282;256;56;28;0;0;172;8.550;17.716;2.544;1.219;447
100;;;3.;HIV/AIDS;;2.975.771;2.051.183;924.588;557;34.243;18.699;365.336;1.166.452;328.289;111.195;26.411;550;32.329;17.992;165.896;537.573;122.158;39.120;8.971
110;;;4.;Diarrhoeal diseases;;2.194.519;1.110.057;1.084.462;7.009;503.251;132.642;92.980;114.763;64.525;71.951;122.936;6.129;453.982;131.388;68.502;98.503;72.953;82.371;170.633
120;;;5.;Childhood-cluster diseases;;68.515;41.459;27.055;9.929;16.978;5.049;2.183;2.918;1.956;1.515;932;3.727;16.149;4.153;766;722;541;448;551
130;;;;a.;Whooping cough;40.755;20.450;20.306;104;16.122;3.557;413;173;43;26;11;104;15.648;3.863;450;169;51;0;21
140;;;;b.;Diphtheria;998;568;429;0;354;111;66;22;9;0;6;0;298;63;14;34;20;0;0
150;;;;c.;Measles;92;26;66;0;24;2;0;0;0;0;0;0;26;1;29;0;0;10;0
160;;;;d.;Tetanus;26.670;20.415;6.255;9.824;478;1.379;1.703;2.723;1.904;1.489;915;3.622;177;226;273;518;470;438;530
170;;;6.;Meningitis;;441.643;251.098;190.545;1.662;89.135;25.974;45.508;48.795;19.591;12.788;7.644;1.113;80.210;20.741;25.263;30.758;14.007;10.494;7.960
180;;;7.;Encephalitis;;605.681;313.722;291.960;463;27.831;27.623;41.250;65.078;40.666;45.733;65.078;362;24.299;23.422;34.265;54.550;35.520;41.622;77.920
185;;;8.;Hepatitis;;221.251;132.321;88.930;1;6.882;7.153;13.430;30.366;29.629;23.511;21.349;1;5.473;5.614;9.351;15.563;13.935;15.461;23.533
186;;;;a.;Acute hepatitis A;33.571;18.001;15.570;0;2.474;603;1.145;2.979;4.770;3.430;2.599;0;2.063;675;1.197;2.277;2.951;2.955;3.451
190;;;;b.;Acute hepatitis B;104.925;68.061;36.865;1;1.718;1.912;8.320;22.490;16.325;11.573;5.722;1;1.293;1.431;5.106;10.599;6.983;6.469;4.984
200;;;;c.;Acute hepatitis C;1.266;694;572;0;118;84;115;142;119;79;37;0;105;68;99;110;79;72;39
205;;;;d.;Acute hepatitis E;81.489;45.566;35.924;0;2.571;4.554;3.851;4.756;8.415;8.429;12.990;0;2.013;3.440;2.949;2.576;3.923;5.965;15.058
210;;;9.;Parasitic and vector diseases;;851.527;455.108;396.419;4;36.375;29.000;71.555;121.573;69.407;66.163;61.030;2;35.411;28.824;54.473;101.688;57.665;52.558;65.798
220;;;;a.;Malaria;32.024;16.152;15.872;0;7.260;863;4.329;2.546;643;352;158;0;8.136;1.198;3.948;1.878;325;249;139
230;;;;b.;African Trypanosomiasis;52;33;19;0;0;0;0;17;16;0;0;0;0;0;0;19;0;0;0
240;;;;c.;Chagas disease;250.893;146.087;104.805;0;78;525;5.636;32.930;32.205;38.227;36.486;0;83;501;4.097;18.885;20.967;24.977;35.296
