Global Health Estimates 2016: DALYs by age, sex and cause;;;;;;;;;;;;;;;;;;;;;;;;
Region:;;South-East Asia Region;;;;;;;;;;;;;;;;;;;;;;
Year:;;2010;;;;;;;;;;;;;;;;;;;;;;
GlobalGlobal;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Sex;Both sexes;Male;Female;Male;;;;;;;;Female;;;;;;;
;;;;;Age group;Total (all ages);;;0-28 days;1-59 months;5-14 years;15-29 years;30-49 years;50-59 years;60-69 years;70+ years;0-28 days;1-59 months;5-14 years;15-29 years;30-49 years;50-59 years;60-69 years;70+ years
Population (thousands);;;;;;1.817.033;931.282;885.751;1.580;94.474;190.535;255.276;243.652;76.933;42.292;26.540;1.454;86.558;174.288;239.994;233.485;74.170;44.370;31.432
;;;;;;;;;;;;;;;;;;;;;;;;
Code;Cause of death;;;;;;;;;;;;;;;;;;;;;;;
0;;All Causes;;;;736.628.945;385.716.794;350.912.151;51.636.132;43.877.407;24.638.402;49.184.480;81.227.071;48.468.541;43.986.038;42.698.724;47.640.884;51.042.655;22.890.836;47.740.996;62.962.152;35.540.381;37.759.693;45.334.554
10;I.;Communicable, maternal, perinatal and nutritional conditions;;;;282.656.627;139.151.508;143.505.120;46.346.787;33.812.412;10.734.553;10.106.583;17.663.475;7.403.809;6.149.155;6.934.735;42.510.613;40.538.891;11.427.165;15.290.627;15.049.710;5.226.541;5.570.021;7.891.552
20;;A.;Infectious and parasitic diseases;;;115.115.144;61.197.691;53.917.453;1.422.414;15.892.870;5.625.598;7.690.816;15.384.537;6.108.978;4.703.692;4.368.785;1.330.656;19.355.460;6.242.265;7.400.037;8.282.293;3.462.306;3.552.528;4.291.909
30;;;1.;Tuberculosis;;28.718.650;18.349.421;10.369.229;2;313.936;290.629;2.498.481;6.537.237;3.609.636;2.825.098;2.274.403;4;336.445;348.512;2.250.473;3.128.392;1.550.577;1.369.870;1.384.956
40;;;2.;STDs excluding HIV;;2.305.272;1.017.535;1.287.737;129.813;369.405;47.209;152.400;285.044;17.747;8.463;7.455;111.970;519.351;103.452;164.652;303.131;52.927;21.274;10.980
50;;;;a.;Syphilis;1.365.191;590.509;774.682;129.813;369.405;45.647;7.787;16.452;8.087;6.755;6.563;111.970;519.351;100.417;13.650;11.909;7.925;5.269;4.192
60;;;;b.;Chlamydia;247.215;78.300;168.915;0;0;402;42.614;33.938;1.238;106;2;0;0;1.322;53.007;98.552;12.320;2.767;945
70;;;;c.;Gonorrhoea;400.229;274.586;125.642;0;0;819;80.406;187.926;5.084;264;87;0;0;568;37.007;67.115;12.059;5.782;3.112
80;;;;d.;Trichomoniasis;35.062;0;35.062;0;0;0;0;0;0;0;0;0;0;187;14.490;15.280;3.445;1.144;515
85;;;;e.;Genital herpes;35.133;14.677;20.456;0;0;124;3.244;6.971;2.336;1.246;756;0;0;194;4.893;9.257;3.067;1.790;1.255
90;;;;f.;Other STDs;222.444;59.463;162.980;0;0;217;18.349;39.757;1.002;91;47;0;0;764;41.605;101.018;14.111;4.522;961
