Global Health Estimates 2016: DALYs by age, sex and cause;;;;;;;;;;;;;;;;;;;;;;;;
Region:;;Eastern Mediterranean Region;;;;;;;;;;;;;;;;;;;;;;
Year:;;2010;;;;;;;;;;;;;;;;;;;;;;
GlobalGlobal;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Sex;Both sexes;Male;Female;Male;;;;;;;;Female;;;;;;;
;;;;;Age group;Total (all ages);;;0-28 days;1-59 months;5-14 years;15-29 years;30-49 years;50-59 years;60-69 years;70+ years;0-28 days;1-59 months;5-14 years;15-29 years;30-49 years;50-59 years;60-69 years;70+ years
Population (thousands);;;;;;586.212;301.879;284.333;666;36.842;65.050;88.390;73.585;19.305;10.711;7.330;632;34.936;61.557;83.982;66.377;18.226;10.727;7.897
;;;;;;;;;;;;;;;;;;;;;;;;
Code;Cause of death;;;;;;;;;;;;;;;;;;;;;;;
0;;All Causes;;;;237.353.752;126.334.894;111.018.858;25.746.775;22.186.432;8.533.404;17.602.066;20.377.277;10.538.400;9.662.720;11.687.820;21.359.995;22.317.800;7.641.677;14.783.408;16.831.783;8.358.641;8.262.166;11.463.388
10;I.;Communicable, maternal, perinatal and nutritional conditions;;;;96.146.091;48.384.994;47.761.097;22.947.275;15.424.361;3.010.106;2.390.878;2.404.770;764.711;627.854;815.039;19.111.047;16.504.377;3.185.723;3.866.917;2.991.831;664.737;582.120;854.345
20;;A.;Infectious and parasitic diseases;;;28.959.535;14.623.280;14.336.255;1.344.663;6.961.238;1.682.458;1.546.991;1.752.597;511.808;386.091;437.434;1.008.257;7.556.492;1.852.168;1.434.944;1.199.167;411.535;364.328;509.365
30;;;1.;Tuberculosis;;3.698.976;1.883.915;1.815.061;1;135.531;85.388;389.523;622.977;245.400;200.951;204.143;2;165.082;187.508;480.936;460.211;183.371;157.068;180.881
40;;;2.;STDs excluding HIV;;2.776.679;1.437.960;1.338.719;188.249;724.208;79.043;172.552;249.963;20.726;1.669;1.550;150.443;883.455;158.179;60.496;74.871;7.250;2.544;1.480
50;;;;a.;Syphilis;2.197.080;1.001.069;1.196.011;188.249;724.208;77.880;2.314;4.005;2.007;1.074;1.332;150.443;883.455;156.991;1.950;1.481;680;491;520
60;;;;b.;Chlamydia;95.255;45.519;49.735;0;0;246;30.350;14.591;303;29;1;0;0;461;21.714;25.423;1.743;311;84
70;;;;c.;Gonorrhoea;358.126;325.702;32.424;0;0;710;116.509;192.808;15.427;233;15;0;0;256;14.332;16.012;1.156;392;276
80;;;;d.;Trichomoniasis;10.429;0;10.429;0;0;0;0;0;0;0;0;0;0;83;4.975;4.149;809;283;131
85;;;;e.;Genital herpes;12.279;4.381;7.898;0;0;51;1.316;1.986;547;286;195;0;0;108;2.548;3.360;953;542;387
90;;;;f.;Other STDs;103.510;61.289;42.221;0;0;155;22.062;36.574;2.442;47;8;0;0;280;14.976;24.447;1.910;526;83
100;;;3.;HIV/AIDS;;617.619;391.014;226.605;395;40.197;8.438;57.329;236.638;39.401;7.129;1.487;395;38.330;8.137;45.668;116.711;14.146;2.707;513
110;;;4.;Diarrhoeal diseases;;10.726.071;4.891.886;5.834.185;255.329;3.763.498;250.327;203.563;154.761;54.621;70.208;139.578;232.026;4.599.515;289.975;206.822;138.544;60.823;89.942;216.538
120;;;5.;Childhood-cluster diseases;;3.329.968;1.767.027;1.562.940;877.431;513.472;268.096;65.363;29.081;7.530;3.457;2.598;612.643;521.872;307.144;74.028;26.199;9.309;4.685;7.061
130;;;;a.;Whooping cough;127.342;53.743;73.598;0;4.714;42.747;4.866;1.179;238;0;0;0;5.596;62.008;4.822;965;208;0;0
140;;;;b.;Diphtheria;23.189;11.835;11.354;0;7.237;3.041;882;514;161;0;0;0;7.430;2.880;569;354;121;0;0
150;;;;c.;Measles;1.478.043;723.817;754.227;0;497.882;192.596;30.650;2.394;295;0;0;0;506.354;209.140;36.056;2.522;154;0;0
160;;;;d.;Tetanus;1.701.394;977.633;723.761;877.431;3.638;29.713;28.965;24.994;6.836;3.457;2.598;612.643;2.491;33.116;32.581;22.358;8.826;4.685;7.061
170;;;6.;Meningitis;;2.441.602;1.346.691;1.094.911;20;916.933;163.862;132.142;84.896;22.307;13.615;12.915;39;669.541;170.998;115.365;72.015;25.577;19.746;21.631
180;;;7.;Encephalitis;;514.600;285.184;229.417;5;88.401;65.858;52.336;46.578;13.995;9.437;8.574;4;76.718;44.541;43.998;36.473;12.274;8.348;7.059
185;;;8.;Hepatitis;;512.723;231.792;280.931;1;65.351;32.687;41.204;46.388;20.499;14.708;10.954;1;92.499;49.079;53.735;38.067;18.768;14.846;13.936
186;;;;a.;Acute hepatitis A;85.808;31.038;54.770;0;24.462;2.351;2.489;902;347;254;233;0;44.146;3.557;4.611;1.146;464;410;438
190;;;;b.;Acute hepatitis B;254.738;127.254;127.485;1;13.841;5.418;26.192;41.835;18.436;12.838;8.692;1;16.891;6.644;31.630;33.082;16.347;12.419;10.470
200;;;;c.;Acute hepatitis C;11.185;4.670;6.515;0;285;1.909;637;599;495;455;290;0;264;2.910;1.046;671;611;582;430
205;;;;d.;Acute hepatitis E;160.992;68.831;92.161;0;26.762;23.009;11.886;3.052;1.221;1.161;1.740;0;31.197;35.968;16.448;3.169;1.346;1.434;2.599
210;;;9.;Parasitic and vector diseases;;1.968.861;1.013.782;955.079;10;249.724;195.102;229.851;193.829;64.806;45.566;34.894;8;213.432;198.997;208.881;177.474;63.366;49.931;42.989
220;;;;a.;Malaria;522.243;242.782;279.462;5;98.129;62.057;40.835;27.525;5.833;5.232;3.164;6;87.561;89.299;59.770;26.266;6.331;6.064;4.166
230;;;;b.;African Trypanosomiasis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
240;;;;c.;Chagas disease;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
250;;;;d.;Schistosomiasis;318.857;170.075;148.782;0;2.839;10.604;47.930;58.123;24.357;15.911;10.311;0;2.587;9.376;38.339;51.506;20.275;14.688;12.012
260;;;;e.;Leishmaniasis;548.578;276.152;272.426;0;59.266;25.160;72.109;70.093;23.711;14.779;11.034;0;55.243;25.859;63.403;69.366;27.339;17.703;13.512
270;;;;f.;lymphatic filariasis;2.909;2.601;308;0;0;331;645;1.073;339;150;63;0;0;27;71;127;48;24;12
280;;;;g.;Onchocerciasis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
285;;;;h.;Cysticercosis;16.204;7.355;8.849;0;213;765;2.568;2.798;573;307;132;0;308;1.261;2.789;2.987;763;481;260
295;;;;i.;Echinococcosis;26.074;12.543;13.531;0;1.332;2.312;3.362;3.146;1.119;745;528;0;1.656;2.800;3.224;3.164;1.178;838;672
300;;;;j.;Dengue;63.602;31.585;32.017;0;8.256;10.371;6.801;3.720;1.050;861;527;0;9.646;10.023;5.792;3.509;1.262;1.052;733
310;;;;k.;Trachoma;39.581;17.205;22.377;0;0;0;671;1.687;2.365;4.708;7.774;0;0;0;662;1.994;2.809;6.324;10.587
315;;;;l.;Yellow fever;76.408;55.551;20.857;5;8.151;15.936;22.827;7.539;730;275;88;2;3.224;7.580;6.981;2.607;312;110;39
320;;;;m.;Rabies;354.403;197.934;156.469;0;71.540;67.565;32.104;18.125;4.729;2.597;1.273;0;53.207;52.773;27.850;15.948;3.048;2.646;997
330;;;10.;Intestinal nematode infections;;157.210;77.068;80.142;0;10.725;18.620;20.937;17.063;4.784;2.997;1.943;0;14.238;18.455;21.554;16.417;4.454;2.926;2.097
340;;;;a.;Ascariasis;93.857;45.509;48.348;0;8.951;12.574;11.505;8.184;2.145;1.314;836;0;12.591;12.764;10.965;7.814;2.096;1.290;828
350;;;;b.;Trichuriasis;3.308;1.657;1.651;0;140;724;393;267;71;40;23;0;138;713;386;269;74;44;27
360;;;;c.;Hookworm disease;45.240;21.572;23.668;0;1.625;4.980;6.724;5.438;1.438;848;519;0;1.502;4.725;8.558;5.961;1.414;887;621
362;;;;d.;Food-bourne trematodes;14.806;8.331;6.475;0;10;342;2.315;3.174;1.131;794;565;0;8;252;1.645;2.374;870;705;621
365;;;11.;Leprosy;;8.381;4.071;4.311;0;0;4;72;1.162;1.137;1.063;633;0;0;1;71;922;1.071;1.335;909
370;;;12.;Other infectious diseases;;2.206.844;1.292.889;913.955;23.222;453.198;515.031;182.118;69.261;16.603;15.291;18.165;12.695;281.809;419.155;123.390;41.262;11.126;10.250;14.270
380;;B.;Respiratory Infectious ;;;18.494.869;9.247.615;9.247.254;1.605.242;5.769.474;487.383;372.764;316.113;173.087;195.440;328.111;1.434.052;6.413.037;420.369;291.958;210.540;102.558;128.345;246.394
390;;;1.;Lower respiratory infections;;17.647.582;8.809.124;8.838.458;1.603.555;5.677.658;360.880;257.783;244.384;154.364;187.153;323.347;1.432.375;6.326.430;303.156;183.559;146.787;85.128;119.857;241.166
400;;;2.;Upper respiratory infections;;480.957;248.871;232.086;1.563;45.136;58.914;71.249;52.276;11.135;5.391;3.205;1.306;42.821;54.969;67.453;46.336;10.410;5.412;3.379
410;;;3.;Otitis media;;366.330;189.620;176.710;124;46.679;67.589;43.732;19.453;7.587;2.896;1.559;371;43.786;62.244;40.946;17.417;7.020;3.077;1.849
420;;C.;Maternal conditions;;;2.074.308;0;2.074.308;0;0;0;0;0;0;0;0;0;0;137;1.195.934;875.167;3.071;0;0
490;;D.;Neonatal conditions;;;40.640.467;21.990.478;18.649.989;19.987.334;1.578.127;134.651;157.197;106.684;18.812;5.970;1.703;16.659.261;1.443.888;163.427;198.857;139.784;29.872;11.458;3.441
500;;;1.;Preterm birth complications;;17.722.389;9.832.436;7.889.953;8.752.107;791.689;92.897;108.131;71.031;11.794;3.588;1.198;7.071.504;588.558;68.596;85.313;58.303;11.778;4.392;1.509
510;;;2.;Birth asphyxia and birth trauma;;11.914.945;6.603.071;5.311.874;6.187.976;378.395;10.217;13.343;10.267;2.054;692;126;4.909.284;367.108;9.874;12.950;9.431;2.172;880;175
520;;;3.;Neonatal sepsis and infections;;8.240.839;4.132.334;4.108.505;4.052.576;19.472;19.847;21.452;15.210;2.779;830;167;3.797.154;64.447;74.898;88.300;63.227;13.815;5.228;1.436
530;;;4.;Other neonatal conditions;;2.762.295;1.422.637;1.339.657;994.674;388.571;11.690;14.271;10.176;2.184;860;212;881.320;423.775;10.058;12.295;8.822;2.108;958;321
