Global Health Estimates 2016: DALYs by age, sex and cause;;;;;;;;;;;;;;;;;;;;;;;;
Region:;;European Region;;;;;;;;;;;;;;;;;;;;;;
Year:;;2010;;;;;;;;;;;;;;;;;;;;;;
GlobalGlobal;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Sex;Both sexes;Male;Female;Male;;;;;;;;Female;;;;;;;
;;;;;Age group;Total (all ages);;;0-28 days;1-59 months;5-14 years;15-29 years;30-49 years;50-59 years;60-69 years;70+ years;0-28 days;1-59 months;5-14 years;15-29 years;30-49 years;50-59 years;60-69 years;70+ years
Population (thousands);;;;;;896.816;434.077;462.739;486;27.453;52.585;96.547;127.239;55.620;37.720;36.426;460;26.029;50.000;93.432;128.766;60.854;44.197;59.002
;;;;;;;;;;;;;;;;;;;;;;;;
Code;Cause of death;;;;;;;;;;;;;;;;;;;;;;;
0;;All Causes;;;;311.590.282;169.568.686;142.021.596;3.736.638;4.222.048;3.162.039;15.476.392;37.549.034;30.887.898;29.046.856;45.487.782;2.937.438;3.495.044;2.773.370;10.647.653;24.373.421;19.361.897;20.404.031;58.028.741
10;I.;Communicable, maternal, perinatal and nutritional conditions;;;;23.800.285;13.652.902;10.147.383;2.841.099;1.909.966;499.354;1.280.710;3.529.462;1.529.898;784.624;1.277.790;2.182.259;1.566.773;500.614;1.205.584;2.045.332;702.204;456.675;1.487.942
20;;A.;Infectious and parasitic diseases;;;8.022.379;5.137.031;2.885.349;34.147;642.810;127.029;635.989;2.233.245;799.724;313.132;350.954;26.052;505.773;114.447;426.468;963.193;293.204;158.306;397.906
30;;;1.;Tuberculosis;;2.026.097;1.596.469;429.628;0;9.385;2.922;200.954;787.851;404.601;127.016;63.739;0;7.527;3.493;90.747;191.420;69.788;28.150;38.504
40;;;2.;STDs excluding HIV;;412.705;214.237;198.468;2.679;11.120;1.900;88.051;86.313;11.914;5.501;6.759;2.263;12.979;1.627;55.863;94.001;15.104;7.224;9.407
50;;;;a.;Syphilis;63.573;36.034;27.539;2.679;11.120;532;1.061;6.022;4.941;4.030;5.648;2.263;12.979;899;877;2.750;2.123;1.830;3.819
60;;;;b.;Chlamydia;98.130;48.082;50.048;0;0;102;29.029;18.197;595;152;6;0;0;211;17.278;29.115;2.547;516;381
70;;;;c.;Gonorrhoea;136.537;96.827;39.710;0;0;1.060;44.926;46.783;3.915;121;22;0;0;223;16.734;19.110;1.776;686;1.181
80;;;;d.;Trichomoniasis;16.959;0;16.959;0;0;0;0;0;0;0;0;0;0;59;5.075;7.531;2.425;1.047;821
85;;;;e.;Genital herpes;26.690;9.161;17.529;0;0;38;1.371;3.787;1.749;1.144;1.071;0;0;83;2.812;6.424;3.149;2.208;2.853
90;;;;f.;Other STDs;70.816;24.133;46.683;0;0;167;11.664;11.524;713;54;12;0;0;150;13.087;29.072;3.085;938;352
100;;;3.;HIV/AIDS;;2.432.304;1.613.421;818.883;437;45.196;4.026;171.880;1.103.028;235.261;43.030;10.563;418;43.240;3.813;135.835;510.472;105.893;15.751;3.462
110;;;4.;Diarrhoeal diseases;;1.083.617;558.618;524.999;6.260;332.793;44.722;38.309;41.330;20.498;19.681;55.025;5.679;264.794;42.766;39.779;36.830;19.679;21.281;94.190
120;;;5.;Childhood-cluster diseases;;30.802;16.876;13.925;7.794;5.148;1.287;1.263;682;263;187;252;5.101;5.034;1.509;900;558;145;180;498
130;;;;a.;Whooping cough;7.503;3.422;4.081;0;2.008;868;322;179;45;0;0;0;2.360;1.117;370;155;42;27;9
140;;;;b.;Diphtheria;1.246;751;495;0;369;54;77;151;88;0;13;0;301;35;27;53;36;31;13
150;;;;c.;Measles;6.703;3.608;3.095;0;2.771;279;421;97;40;0;0;0;2.373;278;218;150;2;32;43
160;;;;d.;Tetanus;15.350;9.095;6.255;7.794;0;86;443;256;90;187;239;5.101;0;79;285;200;64;90;433
170;;;6.;Meningitis;;377.466;214.778;162.688;672;57.177;17.013;37.390;56.360;23.862;12.035;10.269;709;47.170;14.836;27.522;33.173;16.186;10.282;12.812
180;;;7.;Encephalitis;;499.782;276.617;223.165;77;37.963;17.473;33.514;65.124;37.747;31.568;53.151;88;27.402;12.877;26.524;43.239;27.657;25.290;60.088
185;;;8.;Hepatitis;;227.929;126.731;101.197;1;32.300;4.247;13.317;26.203;15.264;14.008;21.392;1;31.713;3.978;11.149;11.077;6.691;7.698;28.892
186;;;;a.;Acute hepatitis A;57.608;29.641;27.967;0;21.698;526;1.103;1.300;1.229;1.247;2.539;0;20.548;498;1.150;638;585;875;3.674
190;;;;b.;Acute hepatitis B;114.026;70.604;43.422;1;6.023;1.843;10.438;22.896;11.862;9.867;7.674;1;6.023;1.771;8.244;9.500;5.073;4.916;7.894
200;;;;c.;Acute hepatitis C;1.750;1.011;740;0;135;148;122;204;177;132;94;0;115;101;122;112;115;90;84
