Global Health Estimates 2016: DALYs by age, sex and cause;;;;;;;;;;;;;;;;;;;;;;;;
Region:;;Eastern Mediterranean Region;;;;;;;;;;;;;;;;;;;;;;
Year:;;2016;;;;;;;;;;;;;;;;;;;;;;
GlobalGlobal;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Sex;Both sexes;Male;Female;Male;;;;;;;;Female;;;;;;;
;;;;;Age group;Total (all ages);;;0-28 days;1-59 months;5-14 years;15-29 years;30-49 years;50-59 years;60-69 years;70+ years;0-28 days;1-59 months;5-14 years;15-29 years;30-49 years;50-59 years;60-69 years;70+ years
Population (thousands);;;;;;664.335;342.557;321.779;718;41.315;71.494;93.173;89.283;24.551;13.565;8.458;676;39.037;67.747;87.338;81.412;22.839;13.567;9.163
;;;;;;;;;;;;;;;;;;;;;;;;
Code;Cause of death;;;;;;;;;;;;;;;;;;;;;;;
0;;All Causes;;;;251.108.495;135.155.061;115.953.434;23.912.249;20.224.220;9.788.485;19.657.321;24.150.350;12.538.580;11.720.408;13.163.447;19.867.226;19.662.494;8.571.214;15.302.132;19.656.991;9.863.197;9.923.884;13.106.296
10;I.;Communicable, maternal, perinatal and nutritional conditions;;;;87.641.545;44.564.173;43.077.372;21.099.247;13.232.799;3.004.197;2.290.917;2.594.218;825.008;664.511;853.275;17.613.974;13.669.774;3.045.320;3.532.249;3.016.568;694.242;606.095;899.149
20;;A.;Infectious and parasitic diseases;;;25.896.566;13.286.706;12.609.860;1.000.400;5.931.576;1.630.540;1.458.125;1.887.264;549.943;385.918;442.940;725.023;6.310.153;1.718.718;1.328.802;1.246.344;414.255;351.353;515.211
30;;;1.;Tuberculosis;;3.442.864;1.777.457;1.665.407;1;129.137;80.421;352.399;574.888;244.754;191.013;204.844;2;155.884;172.475;420.892;425.073;173.669;141.802;175.611
40;;;2.;STDs excluding HIV;;2.736.010;1.442.349;1.293.660;157.799;704.784;66.739;181.310;301.908;25.867;2.116;1.827;126.699;867.088;133.226;62.896;90.257;8.687;3.048;1.760
50;;;;a.;Syphilis;2.071.960;940.384;1.131.575;157.799;704.784;65.499;2.454;4.549;2.409;1.314;1.576;126.699;867.088;131.972;2.146;1.653;815;578;625
60;;;;b.;Chlamydia;104.958;49.546;55.411;0;0;264;31.689;17.183;373;37;1;0;0;480;21.868;30.508;2.082;368;105
70;;;;c.;Gonorrhoea;413.967;376.740;37.227;0;0;755;122.708;233.595;19.338;324;19;0;0;277;15.432;19.410;1.342;428;339
80;;;;d.;Trichomoniasis;11.767;0;11.767;0;0;0;0;0;0;0;0;0;0;87;5.177;5.009;988;357;149
85;;;;e.;Genital herpes;14.276;5.104;9.172;0;0;55;1.366;2.396;692;376;220;0;0;115;2.646;4.103;1.175;691;442
90;;;;f.;Other STDs;119.082;70.575;48.507;0;0;166;23.093;44.185;3.055;65;11;0;0;295;15.627;29.574;2.284;626;101
100;;;3.;HIV/AIDS;;937.978;607.254;330.724;474;48.928;11.577;73.796;381.607;74.120;14.261;2.492;474;46.217;11.111;63.296;182.547;22.426;3.992;661
110;;;4.;Diarrhoeal diseases;;8.969.073;4.148.074;4.821.000;226.235;3.014.372;265.411;201.912;164.266;60.259;71.637;143.982;202.001;3.569.272;304.764;208.214;151.821;67.274;90.788;226.867
120;;;5.;Childhood-cluster diseases;;2.242.399;1.194.216;1.048.183;591.450;432.829;102.796;33.508;22.292;6.116;2.969;2.256;384.286;463.185;128.626;35.031;19.790;7.510;3.754;6.001
130;;;;a.;Whooping cough;147.918;61.961;85.956;0;4.849;51.141;4.572;1.153;246;0;0;0;5.785;73.826;5.080;1.038;228;0;0
140;;;;b.;Diphtheria;18.799;9.549;9.249;0;6.141;2.266;637;381;124;0;0;0;6.312;2.138;429;272;98;0;0
150;;;;c.;Measles;919.750;442.615;477.135;0;418.670;22.236;1.552;139;18;0;0;0;449.046;25.871;2.026;180;12;0;0
160;;;;d.;Tetanus;1.155.933;680.090;475.842;591.450;3.168;27.153;26.747;20.618;5.729;2.969;2.256;384.286;2.042;26.791;27.497;18.300;7.172;3.754;6.001
170;;;6.;Meningitis;;2.016.024;1.105.965;910.059;26;608.169;206.710;140.018;93.996;26.155;16.129;14.761;45;457.306;182.583;116.496;79.033;28.981;21.469;24.148
180;;;7.;Encephalitis;;543.223;303.719;239.505;6;72.787;81.100;55.358;55.018;17.578;11.667;10.206;6;61.569;53.643;45.807;43.861;15.275;10.684;8.661
185;;;8.;Hepatitis;;519.832;235.843;283.990;1;64.405;34.623;38.562;46.061;22.407;17.788;11.996;1;91.397;51.020;48.852;39.130;20.778;16.662;16.150
186;;;;a.;Acute hepatitis A;88.156;32.627;55.529;0;25.722;2.351;2.521;1.008;427;332;266;0;45.107;3.535;4.186;1.201;542;457;501
190;;;;b.;Acute hepatitis B;257.559;128.325;129.234;1;12.912;5.389;24.268;41.204;19.912;15.355;9.283;1;16.095;6.312;28.993;33.969;17.947;13.884;12.034
200;;;;c.;Acute hepatitis C;11.439;4.928;6.511;0;365;1.787;627;651;589;579;331;0;336;2.572;978;705;729;684;508
205;;;;d.;Acute hepatitis E;162.679;69.962;92.717;0;25.406;25.097;11.145;3.199;1.479;1.521;2.115;0;29.859;38.601;14.695;3.256;1.560;1.637;3.108
210;;;9.;Parasitic and vector diseases;;1.754.376;877.380;876.996;8;246.102;174.832;190.497;154.191;47.449;36.914;27.388;7;231.238;183.161;185.452;149.213;50.317;42.412;35.196
220;;;;a.;Malaria;584.129;271.645;312.483;4;115.168;60.658;45.811;32.285;6.809;6.639;4.271;5;112.316;86.083;64.144;30.852;7.264;6.944;4.875
230;;;;b.;African Trypanosomiasis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
240;;;;c.;Chagas disease;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
250;;;;d.;Schistosomiasis;155.409;84.331;71.079;0;2.273;5.389;23.385;29.510;11.136;8.067;4.570;0;2.170;4.752;17.506;25.135;9.308;6.929;5.278
