Global Health Estimates 2016: DALYs by age, sex and cause;;;;;;;;;;;;;;;;;;;;;;;;
Region:;;European Region;;;;;;;;;;;;;;;;;;;;;;
Year:;;2015;;;;;;;;;;;;;;;;;;;;;;
GlobalGlobal;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Sex;Both sexes;Male;Female;Male;;;;;;;;Female;;;;;;;
;;;;;Age group;Total (all ages);;;0-28 days;1-59 months;5-14 years;15-29 years;30-49 years;50-59 years;60-69 years;70+ years;0-28 days;1-59 months;5-14 years;15-29 years;30-49 years;50-59 years;60-69 years;70+ years
Population (thousands);;;;;;912.984;442.536;470.448;482;28.715;54.290;90.448;127.278;59.050;43.537;38.738;454;27.157;51.551;86.973;128.140;63.817;51.534;60.822
;;;;;;;;;;;;;;;;;;;;;;;;
Code;Cause of death;;;;;;;;;;;;;;;;;;;;;;;
0;;All Causes;;;;302.754.683;162.882.182;139.872.501;3.065.607;3.535.799;3.049.178;13.095.743;33.890.022;28.843.926;32.032.709;45.369.197;2.427.369;2.922.524;2.719.132;9.623.874;23.094.067;18.787.969;22.705.431;57.592.134
10;I.;Communicable, maternal, perinatal and nutritional conditions;;;;22.087.794;12.618.109;9.469.685;2.309.039;1.533.124;490.940;1.076.665;3.378.874;1.452.268;903.105;1.474.094;1.787.479;1.261.044;507.431;1.046.154;1.918.997;675.715;543.575;1.729.290
20;;A.;Infectious and parasitic diseases;;;7.632.350;4.941.713;2.690.637;26.725;475.808;115.579;521.474;2.240.153;789.416;357.483;415.074;20.396;377.769;104.734;346.637;895.234;268.735;188.247;488.885
30;;;1.;Tuberculosis;;1.235.459;948.506;286.953;0;5.702;2.093;102.788;447.752;243.476;104.254;42.440;0;5.036;2.894;52.883;124.746;46.841;25.882;28.671
40;;;2.;STDs excluding HIV;;395.906;208.321;187.585;1.691;6.761;1.361;80.757;91.382;12.779;6.483;7.108;1.418;7.851;1.170;51.313;93.520;14.731;8.508;9.074
50;;;;a.;Syphilis;52.311;31.416;20.895;1.691;6.761;265;951;6.022;4.980;4.785;5.961;1.418;7.851;476;706;2.460;2.032;2.196;3.756
60;;;;b.;Chlamydia;96.749;47.781;48.968;0;0;101;28.038;18.815;641;180;7;0;0;201;16.025;29.380;2.433;599;330
70;;;;c.;Gonorrhoea;132.886;95.910;36.977;0;0;825;39.903;50.506;4.519;141;16;0;0;211;14.962;18.462;1.527;812;1.003
80;;;;d.;Trichomoniasis;17.125;0;17.125;0;0;0;0;0;0;0;0;0;0;59;4.839;7.655;2.541;1.220;811
85;;;;e.;Genital herpes;27.220;9.373;17.847;0;0;37;1.310;3.759;1.836;1.316;1.115;0;0;81;2.640;6.381;3.274;2.592;2.879
90;;;;f.;Other STDs;69.615;23.841;45.774;0;0;133;10.555;12.280;804;62;9;0;0;143;12.140;29.182;2.924;1.089;297
100;;;3.;HIV/AIDS;;2.926.797;2.149.994;776.802;153;12.026;3.939;194.519;1.463.261;382.626;79.609;13.862;146;11.207;4.078;120.029;514.991;101.056;21.752;3.544
110;;;4.;Diarrhoeal diseases;;1.041.467;519.017;522.451;4.716;256.444;44.979;35.480;43.492;24.932;29.297;79.677;4.349;215.184;43.648;36.817;37.669;22.980;30.627;131.177
120;;;5.;Childhood-cluster diseases;;25.137;13.155;11.982;4.764;5.749;942;613;524;258;150;155;3.216;5.869;939;642;487;146;180;504
130;;;;a.;Whooping cough;8.367;3.953;4.414;0;3.032;530;201;142;45;0;3;0;3.296;636;269;124;38;0;51
140;;;;b.;Diphtheria;1.151;766;385;0;295;128;59;148;92;34;11;0;241;30;22;52;36;0;4
150;;;;c.;Measles;5.436;2.733;2.704;0;2.422;143;68;29;40;0;31;0;2.332;130;96;108;2;37;0
160;;;;d.;Tetanus;10.183;5.703;4.480;4.764;0;139;285;206;81;116;111;3.216;0;143;256;203;71;143;449
170;;;6.;Meningitis;;313.658;177.253;136.405;207;37.968;15.169;29.787;49.833;21.865;13.435;8.991;206;32.455;11.490;22.678;31.393;15.093;11.571;11.519
180;;;7.;Encephalitis;;523.991;285.257;238.734;35;27.761;17.267;28.791;62.262;37.760;39.549;71.831;36;20.266;12.538;23.701;43.041;28.373;31.631;79.147
185;;;8.;Hepatitis;;211.787;117.292;94.495;1;21.335;3.240;10.102;23.711;16.652;14.674;27.577;1;19.646;2.768;8.690;10.424;6.616;8.185;38.166
186;;;;a.;Acute hepatitis A;44.684;23.004;21.680;0;14.369;456;844;1.045;1.284;1.539;3.466;0;13.034;438;820;542;595;955;5.296
190;;;;b.;Acute hepatitis B;100.409;64.117;36.291;1;3.707;1.076;7.854;21.002;13.132;9.584;7.761;1;3.382;882;6.577;9.047;5.027;5.136;6.241
200;;;;c.;Acute hepatitis C;1.639;955;685;0;144;137;84;183;174;143;89;0;123;93;88;99;107;96;79
205;;;;d.;Acute hepatitis E;65.055;29.217;35.839;0;3.114;1.571;1.319;1.482;2.061;3.408;16.262;0;3.108;1.354;1.206;736;888;1.998;26.550
210;;;9.;Parasitic and vector diseases;;66.830;36.797;30.032;0;3.489;2.940;5.525;9.344;5.551;5.109;4.839;0;2.899;2.135;3.689;6.616;3.540;4.034;7.120
220;;;;a.;Malaria;161;82;79;0;19;13;32;13;3;1;0;0;19;12;31;13;3;1;0
230;;;;b.;African Trypanosomiasis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
240;;;;c.;Chagas disease;1.223;640;583;0;0;1;32;230;104;95;178;0;0;1;26;189;77;137;154
250;;;;d.;Schistosomiasis;550;235;315;0;0;3;70;91;28;19;24;0;0;3;50;142;41;47;33
260;;;;e.;Leishmaniasis;3.485;1.814;1.672;0;228;69;173;528;271;276;269;0;215;67;215;392;276;267;239
270;;;;f.;lymphatic filariasis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
280;;;;g.;Onchocerciasis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
285;;;;h.;Cysticercosis;1.416;541;875;0;0;1;56;184;120;87;93;0;0;1;78;260;181;144;210
295;;;;i.;Echinococcosis;48.977;26.859;22.119;0;1.215;1.347;3.696;7.183;4.728;4.477;4.213;0;1.381;1.205;2.286;4.770;2.765;3.285;6.427
300;;;;j.;Dengue;61;31;30;0;2;0;0;0;0;26;3;0;1;0;29;0;0;0;0
310;;;;k.;Trachoma;18;10;8;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;8
315;;;;l.;Yellow fever;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
320;;;;m.;Rabies;10.939;6.587;4.352;0;2.026;1.507;1.465;1.115;297;119;59;0;1.282;846;975;849;198;153;48
330;;;10.;Intestinal nematode infections;;8.980;4.278;4.702;0;478;863;914;1.046;469;269;238;0;482;828;873;1.089;550;377;502
340;;;;a.;Ascariasis;6.429;3.174;3.256;0;473;835;713;696;261;122;74;0;477;805;679;703;293;164;135
350;;;;b.;Trichuriasis;112;55;57;0;1;8;16;18;6;4;3;0;1;8;15;18;6;4;4
360;;;;c.;Hookworm disease;472;182;290;0;0;0;62;58;25;19;17;0;0;0;88;116;31;20;33
362;;;;d.;Food-bourne trematodes;1.967;867;1.100;0;4;20;123;274;176;125;144;0;3;15;90;253;219;189;331
365;;;11.;Leprosy;;37;19;18;0;0;0;0;5;5;5;3;0;0;0;0;4;4;6;4
370;;;12.;Other infectious diseases;;882.301;481.823;400.478;15.160;98.095;22.787;32.197;47.541;43.042;64.648;158.353;11.025;56.874;22.247;25.322;31.254;28.804;45.494;179.458
380;;B.;Respiratory Infectious ;;;6.684.822;3.888.375;2.796.447;105.174;517.160;172.391;274.456;805.512;550.610;480.890;982.182;95.729;440.776;160.181;219.114;372.657;221.807;233.286;1.052.898
390;;;1.;Lower respiratory infections;;5.446.591;3.287.074;2.159.517;104.565;445.024;60.845;150.437;654.512;483.361;438.369;949.961;95.172;373.216;52.976;91.112;213.084;147.792;182.775;1.003.389
400;;;2.;Upper respiratory infections;;940.155;451.341;488.814;563;44.798;75.357;95.377;124.405;50.308;34.124;26.409;514;42.175;73.754;100.777;133.857;55.610;41.069;41.057
410;;;3.;Otitis media;;298.076;149.960;148.117;47;27.337;36.189;28.642;26.595;16.941;8.397;5.812;42;25.385;33.451;27.225;25.717;18.405;9.442;8.451
420;;C.;Maternal conditions;;;156.486;0;156.486;0;0;0;0;0;0;0;0;0;0;13;80.131;76.185;157;0;0
490;;D.;Neonatal conditions;;;5.735.129;3.138.176;2.596.953;2.175.107;365.965;102.778;172.537;209.314;69.915;33.382;9.177;1.669.272;285.170;89.380;159.231;220.690;92.999;57.352;22.858
500;;;1.;Preterm birth complications;;2.893.341;1.576.079;1.317.262;1.167.013;153.205;45.320;75.403;89.881;27.863;12.864;4.530;905.469;118.860;40.650;73.517;102.064;40.757;24.765;11.179
510;;;2.;Birth asphyxia and birth trauma;;1.443.787;821.128;622.659;512.470;93.881;33.624;61.537;77.046;27.281;13.022;2.265;365.234;67.884;23.968;46.167;66.321;29.744;18.307;5.034
520;;;3.;Neonatal sepsis and infections;;741.055;374.371;366.684;264.674;11.665;18.569;27.046;32.887;11.638;5.923;1.969;219.886;13.436;21.038;32.818;43.562;18.851;11.741;5.352
530;;;4.;Other neonatal conditions;;656.946;366.598;290.348;230.949;107.215;5.265;8.551;9.500;3.133;1.573;413;178.682;84.990;3.725;6.729;8.743;3.648;2.538;1.294
540;;E.;Nutritional deficiencies;;;1.879.007;649.845;1.229.162;2.032;174.192;100.191;108.198;123.894;42.328;31.350;67.660;2.082;157.329;153.124;241.041;354.230;92.017;64.690;164.649
550;;;1.;Protein-energy malnutrition;;202.090;101.802;100.288;1.258;61.098;781;2.298;5.033;4.602;5.463;21.267;966;49.176;694;2.025;4.313;2.584;3.853;36.677
560;;;2.;Iodine deficiency;;304.078;104.417;199.661;0;858;6.374;22.915;34.940;16.225;12.165;10.939;0;989;10.713;40.145;62.398;30.871;25.099;29.447
570;;;3.;Vitamin A deficiency;;2.897;1.462;1.434;0;380;423;310;204;79;37;29;0;357;391;282;207;96;60;42
580;;;4.;Iron-deficiency anaemia;;1.329.271;420.877;908.395;774;107.463;92.047;81.497;79.712;18.447;10.619;30.318;1.117;103.601;140.916;197.348;284.634;57.102;33.531;90.145
590;;;5.;Other nutritional deficiencies;;40.671;21.288;19.383;0;4.392;566;1.178;4.005;2.974;3.065;5.107;0;3.206;409;1.242;2.678;1.363;2.147;8.338
600;II.;Noncommunicable diseases;;;;249.459.574;128.961.399;120.498.175;723.673;1.599.441;1.986.337;7.532.850;22.715.664;23.860.977;28.799.194;41.743.264;610.128;1.347.907;1.848.676;7.181.758;18.772.387;16.660.693;20.800.100;53.276.526
610;;A.;Malignant neoplasms;;;49.810.164;28.381.723;21.428.440;1.293;196.088;190.708;523.969;2.798.260;6.369.815;8.919.956;9.381.634;1.787;157.531;142.675;371.662;2.972.354;4.551.076;5.650.606;7.580.748
620;;;1.;Mouth and oropharynx cancers;;1.632.970;1.310.970;322.000;0;4.185;2.362;12.372;187.044;477.348;429.924;197.734;0;1.823;1.020;7.538;48.225;85.050;85.904;92.441
621;;;;a.;Lip and oral cavity;834.894;648.712;186.181;0;1.892;771;3.974;93.641;230.375;208.354;109.704;0;856;356;3.029;24.632;44.143;47.651;65.515
622;;;;b.;Nasopharynx;106.057;72.146;33.912;0;0;605;6.677;19.818;18.865;17.242;8.939;0;0;321;2.669;9.996;8.945;7.334;4.648
623;;;;c.;Other pharynx;692.019;590.111;101.907;0;2.294;987;1.721;73.585;228.107;204.328;79.090;0;967;344;1.839;13.598;31.962;30.920;22.278
630;;;2.;Oesophagus cancer;;1.322.605;1.025.734;296.871;0;1.091;166;3.306;95.820;298.976;366.488;259.887;0;486;112;2.888;31.172;62.689;82.972;116.552
640;;;3.;Stomach cancer;;3.306.284;2.079.444;1.226.840;0;5.153;1.980;17.027;277.040;516.127;647.287;614.831;0;2.544;639;16.727;183.265;243.724;309.037;470.905
650;;;4.;Colon and rectum cancers;;5.532.023;3.073.623;2.458.400;0;2.744;1.355;21.017;267.055;589.049;958.602;1.233.802;0;2.596;1.536;16.996;233.307;439.144;634.269;1.130.552
660;;;5.;Liver cancer;;1.817.044;1.225.695;591.349;0;0;3.778;13.802;113.288;290.659;403.369;400.799;0;0;2.785;8.616;54.266;104.775;160.999;259.909
661;;;;a.;Liver cancer secondary to hepatitis B;469.075;308.882;160.193;0;0;2.439;10.056;51.922;86.022;87.751;70.693;0;0;1.875;5.688;25.997;33.024;39.528;54.081
662;;;;b.;Liver cancer secondary to hepatitis C;537.747;315.016;222.731;0;0;159;1.182;17.492;61.106;99.877;135.200;0;0;131;1.112;12.600;32.076;56.319;120.492
663;;;;c.;Liver cancer secondary to alcohol use;710.542;545.257;165.285;0;0;0;761;37.652;131.094;199.695;176.055;0;0;0;337;10.642;32.385;55.003;66.918
664;;;;d.;Other liver cancer;99.680;56.540;43.140;0;0;1.181;1.803;6.222;12.436;16.047;18.851;0;0;778;1.479;5.027;7.290;10.148;18.418
670;;;6.;Pancreas cancer;;2.702.815;1.487.403;1.215.412;0;635;512;6.347;134.626;357.616;504.000;483.668;0;74;152;3.430;70.081;211.601;363.340;566.733
680;;;7.;Trachea, bronchus, lung cancers;;10.178.097;7.452.711;2.725.386;0;8.347;2.064;17.688;586.776;1.956.717;2.720.490;2.160.630;0;7.404;2.529;10.456;238.023;652.365;909.955;904.655
690;;;8.;Melanoma and other skin cancers;;938.901;540.138;398.763;0;50;313;16.201;97.202;110.564;135.214;180.592;0;669;579;12.014;76.640;76.389;83.806;148.666
691;;;;a.;Malignant skin melanoma;718.860;401.880;316.980;0;50;271;13.166;85.117;89.404;101.425;112.446;0;669;455;10.562;70.879;67.926;71.603;94.885
692;;;;b.;Non-melanoma skin cancer;220.041;138.258;81.783;0;0;42;3.035;12.085;21.160;33.789;68.146;0;0;124;1.452;5.761;8.463;12.203;53.781
700;;;9.;Breast cancer;;4.183.862;39.026;4.144.835;0;0;0;399;5.191;8.733;11.335;13.369;0;129;28;23.553;853.182;1.073.378;1.023.992;1.170.572
710;;;10.;Cervix uteri cancer;;865.657;0;865.657;0;0;0;0;0;0;0;0;0;259;57;17.732;235.792;215.741;205.059;191.017
720;;;11.;Corpus uteri cancer;;804.482;0;804.482;0;0;0;0;0;0;0;0;0;129;34;13.533;176.518;188.762;205.702;219.804
730;;;12.;Ovary cancer;;1.200.546;0;1.200.546;0;0;0;0;0;0;0;0;0;2.714;1.408;17.932;163.181;310.112;351.966;353.234
740;;;13.;Prostate cancer;;2.096.601;2.096.601;0;0;1.091;155;2.067;19.867;158.330;558.638;1.356.453;0;0;0;0;0;0;0;0
742;;;14.;Testicular cancer;;128.587;128.587;0;0;3.917;2.372;39.039;58.010;11.697;7.750;5.804;0;0;0;0;0;0;0;0
745;;;15.;Kidney cancer;;1.319.719;867.560;452.159;89;19.851;8.657;7.041;83.787;214.355;269.250;264.530;60;13.096;7.746;5.427;34.532;81.633;122.854;186.811
750;;;16.;Bladder cancer;;1.307.843;1.029.013;278.830;0;1.759;1.341;1.733;40.490;150.001;317.138;516.551;0;129;122;866;16.445;33.384;62.813;165.071
751;;;17.;Brain and nervous system cancers;;1.849.407;1.053.958;795.449;127;32.153;49.197;76.399;247.627;244.918;241.252;162.285;156;30.676;42.087;48.537;153.860;173.466;182.589;164.078
752;;;18.;Gallbladder and biliary tract cancer;;530.596;234.768;295.828;0;1.221;691;1.598;16.992;41.190;72.658;100.419;0;182;115;566;14.714;46.125;85.587;148.540
753;;;19.;Larynx cancer;;631.912;572.726;59.186;0;359;0;1.489;45.102;180.193;213.760;131.823;0;259;0;792;7.371;16.128;18.415;16.221
754;;;20.;Thyroid cancer;;249.412;78.699;170.713;0;0;97;1.407;10.574;17.620;24.738;24.264;0;0;139;3.040;19.859;33.321;51.263;63.089
755;;;21.;Mesothelioma;;265.514;191.867;73.647;0;120;98;1.169;9.781;25.452;62.682;92.566;0;0;0;780;9.987;13.813;21.694;27.374
760;;;22.;Lymphomas, multiple myeloma;;2.109.006;1.194.450;914.556;87;17.482;21.651;70.905;166.635;209.408;294.479;413.805;72;10.753;10.278;42.540;97.406;131.613;219.924;401.971
761;;;;a.;Hodgkin lymphoma;221.158;135.191;85.968;14;3.343;5.884;27.584;38.542;23.296;20.342;16.187;2;1.872;3.216;18.984;23.292;11.795;11.793;15.014
762;;;;b.;Non-Hodgkin lymphoma;1.220.592;706.399;514.193;73;14.138;15.632;41.873;102.798;122.308;170.904;238.673;70;8.806;7.036;22.911;57.848;71.551;116.995;228.977
763;;;;c.;Multiple myeloma;667.256;352.860;314.395;0;0;134;1.448;25.295;63.804;103.233;158.946;0;75;26;646;16.267;48.267;91.135;157.980
770;;;23.;Leukaemia;;1.733.190;994.307;738.883;146;58.604;60.510;97.650;121.995;127.962;207.872;319.568;167;47.443;42.110;49.333;85.484;97.101;143.381;273.864
