Global Health Estimates 2016: DALYs by age, sex and cause;;;;;;;;;;;;;;;;;;;;;;;;
Region:;;South-East Asia Region;;;;;;;;;;;;;;;;;;;;;;
Year:;;2015;;;;;;;;;;;;;;;;;;;;;;
GlobalGlobal;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Sex;Both sexes;Male;Female;Male;;;;;;;;Female;;;;;;;
;;;;;Age group;Total (all ages);;;0-28 days;1-59 months;5-14 years;15-29 years;30-49 years;50-59 years;60-69 years;70+ years;0-28 days;1-59 months;5-14 years;15-29 years;30-49 years;50-59 years;60-69 years;70+ years
Population (thousands);;;;;;1.926.539;986.577;939.962;1.503;90.331;191.153;265.714;266.788;88.183;51.965;30.940;1.379;82.918;174.781;247.093;257.088;86.448;53.371;36.885
;;;;;;;;;;;;;;;;;;;;;;;;
Code;Cause of death;;;;;;;;;;;;;;;;;;;;;;;
0;;All Causes;;;;715.291.737;382.105.061;333.186.675;40.945.278;32.351.274;21.197.645;48.374.693;85.830.482;53.625.845;51.684.629;48.095.215;37.397.411;35.412.528;19.271.376;44.628.692;64.882.081;38.791.097;42.611.629;50.191.860
10;I.;Communicable, maternal, perinatal and nutritional conditions;;;;226.908.521;113.318.385;113.590.135;35.914.308;24.098.813;8.604.686;8.767.456;15.593.529;6.938.601;6.265.395;7.135.599;32.322.449;26.963.052;8.887.102;13.081.812;13.652.514;4.926.135;5.640.051;8.117.019
20;;A.;Infectious and parasitic diseases;;;89.660.804;49.289.716;40.371.088;698.909;10.867.121;4.051.207;6.239.409;13.083.652;5.555.086;4.620.556;4.173.778;592.182;12.488.934;4.216.206;5.739.140;6.911.211;3.025.111;3.354.857;4.043.446
30;;;1.;Tuberculosis;;24.651.091;16.184.606;8.466.485;1;200.891;180.650;1.970.314;5.727.393;3.301.294;2.686.790;2.117.272;3;217.931;212.128;1.652.101;2.558.599;1.326.113;1.230.891;1.268.719
40;;;2.;STDs excluding HIV;;1.750.210;801.280;948.930;66.914;203.890;21.520;156.442;313.439;20.424;10.164;8.488;57.848;282.274;46.572;155.207;318.038;54.464;22.780;11.746
50;;;;a.;Syphilis;764.798;340.434;424.364;66.914;203.890;19.930;7.836;17.125;9.219;8.044;7.476;57.848;282.274;43.656;11.144;11.348;7.829;5.660;4.604
60;;;;b.;Chlamydia;255.311;79.965;175.346;0;0;407;42.182;35.828;1.412;134;2;0;0;1.286;51.636;105.366;13.106;2.982;971
70;;;;c.;Gonorrhoea;425.243;300.277;124.966;0;0;841;84.195;208.946;5.903;313;78;0;0;531;34.400;69.811;11.274;5.779;3.171
80;;;;d.;Trichomoniasis;36.866;0;36.866;0;0;0;0;0;0;0;0;0;0;187;14.185;16.564;3.984;1.363;584
85;;;;e.;Genital herpes;38.490;16.448;22.042;0;0;123;3.347;7.777;2.739;1.572;890;0;0;177;4.675;10.040;3.565;2.144;1.440
90;;;;f.;Other STDs;229.502;64.156;165.346;0;0;220;18.882;43.762;1.150;100;42;0;0;736;39.166;104.908;14.707;4.852;977
100;;;3.;HIV/AIDS;;7.935.154;5.413.067;2.522.087;2.796;285.943;167.477;984.953;3.549.353;367.205;49.950;5.389;2.796;266.264;163.028;604.343;1.367.843;102.151;14.039;1.624
110;;;4.;Diarrhoeal diseases;;25.903.924;12.018.859;13.885.065;258.607;5.356.110;1.020.637;850.279;1.187.080;832.849;1.100.263;1.413.034;269.182;6.528.783;959.951;992.807;918.438;841.625;1.328.115;2.046.165
120;;;5.;Childhood-cluster diseases;;4.867.739;2.441.589;2.426.150;319.631;1.780.269;117.295;45.538;71.582;49.110;32.497;25.667;247.262;1.833.270;174.056;66.382;35.905;18.136;30.779;20.359
130;;;;a.;Whooping cough;132.693;56.244;76.449;0;10.164;40.775;1.809;1.246;2.251;0;0;0;11.840;56.083;7.235;1.016;274;0;0
140;;;;b.;Diphtheria;8.548;4.518;4.030;0;2.199;922;249;400;749;0;0;0;2.457;826;427;215;104;0;0
150;;;;c.;Measles;3.817.007;1.863.353;1.953.654;0;1.759.635;57.528;12.523;4.294;4.899;9.906;14.570;0;1.813.381;89.747;30.541;9.623;2.965;6.631;767
160;;;;d.;Tetanus;909.491;517.474;392.017;319.631;8.272;18.071;30.957;65.643;41.211;22.591;11.097;247.262;5.592;27.401;28.179;25.051;14.793;24.148;19.592
170;;;6.;Meningitis;;3.649.221;1.732.873;1.916.348;31;608.734;356.352;318.989;261.705;94.007;62.248;30.808;77;827.912;331.861;334.192;214.583;88.402;68.461;50.860
180;;;7.;Encephalitis;;2.790.069;1.197.104;1.592.964;14;394.992;235.875;196.427;183.860;75.171;67.743;43.023;18;466.872;329.883;270.380;211.182;98.531;108.655;107.444
185;;;8.;Hepatitis;;4.413.166;2.247.341;2.165.825;4;250.616;205.816;477.495;682.891;298.874;198.166;133.478;3;290.656;396.614;523.523;445.692;160.247;190.595;158.496
186;;;;a.;Acute hepatitis A;269.612;126.607;143.005;0;88.133;5.183;12.848;9.760;4.712;3.337;2.634;0;100.801;8.139;16.880;7.459;3.036;3.409;3.280
190;;;;b.;Acute hepatitis B;2.597.044;1.447.048;1.149.996;4;65.017;19.545;227.971;588.745;266.040;174.160;105.566;3;66.630;30.005;250.381;382.223;139.339;161.928;119.487
200;;;;c.;Acute hepatitis C;45.589;22.441;23.148;0;170;1.617;3.079;4.848;4.934;4.620;3.173;0;145;2.608;4.013;3.494;3.238;5.352;4.298
205;;;;d.;Acute hepatitis E;1.500.922;651.244;849.678;0;97.296;179.471;233.598;79.538;23.187;16.049;22.104;0;123.079;355.862;252.248;52.516;14.635;19.907;31.431
210;;;9.;Parasitic and vector diseases;;5.666.784;3.027.138;2.639.646;8;502.871;649.482;631.181;667.618;268.329;188.565;119.085;10;647.389;614.133;475.749;401.653;174.315;176.339;150.058
220;;;;a.;Malaria;1.812.766;789.680;1.023.086;8;204.280;266.200;111.381;117.251;44.125;31.016;15.420;10;388.020;324.202;124.692;90.745;35.413;36.099;23.906
230;;;;b.;African Trypanosomiasis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
240;;;;c.;Chagas disease;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
250;;;;d.;Schistosomiasis;1.161;532;629;0;0;8;67;164;131;104;59;0;0;8;90;282;104;79;65
260;;;;e.;Leishmaniasis;376.558;190.899;185.658;0;63.165;36.269;34.311;30.554;11.035;8.658;6.907;0;60.323;35.183;37.377;27.140;9.660;9.050;6.925
270;;;;f.;lymphatic filariasis;476.652;404.625;72.026;0;0;28.852;81.822;183.397;68.071;30.509;11.974;0;0;3.607;12.986;30.882;14.019;7.269;3.264
280;;;;g.;Onchocerciasis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
285;;;;h.;Cysticercosis;299.386;146.317;153.070;0;339;4.194;35.584;65.548;21.301;13.107;6.243;0;665;5.510;44.713;55.995;20.500;16.516;9.171
